"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Intraday / Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Intraday / Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Intraday / Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"27.10.2022 02:00 - 27.10.2022 03:00","0","0","0","n/e","n/e","n/e","165","152","152"
"27.10.2022 03:00 - 27.10.2022 04:00","0","0","0","n/e","n/e","n/e","189","186","186"
"27.10.2022 04:00 - 27.10.2022 05:00","0","0","0","n/e","n/e","n/e","207","231","231"
"27.10.2022 05:00 - 27.10.2022 06:00","0","0","0","n/e","n/e","n/e","223","246","246"
"27.10.2022 06:00 - 27.10.2022 07:00","0","0","0","n/e","n/e","n/e","233","246","246"
"27.10.2022 07:00 - 27.10.2022 08:00","1","1","1","n/e","n/e","n/e","236","234","234"
"27.10.2022 08:00 - 27.10.2022 09:00","7","7","7","n/e","n/e","n/e","220","217","217"
"27.10.2022 09:00 - 27.10.2022 10:00","16","16","16","n/e","n/e","n/e","187","182","162"
"27.10.2022 10:00 - 27.10.2022 11:00","24","24","24","n/e","n/e","n/e","147","142","147"
"27.10.2022 11:00 - 27.10.2022 12:00","31","31","31","n/e","n/e","n/e","110","108","95"
"27.10.2022 12:00 - 27.10.2022 13:00","35","35","35","n/e","n/e","n/e","83","82","52"
"27.10.2022 13:00 - 27.10.2022 14:00","34","34","34","n/e","n/e","n/e","67","66","55"
"27.10.2022 14:00 - 27.10.2022 15:00","28","28","28","n/e","n/e","n/e","62","61","46"
"27.10.2022 15:00 - 27.10.2022 16:00","21","21","21","n/e","n/e","n/e","67","67","53"
"27.10.2022 16:00 - 27.10.2022 17:00","9","9","9","n/e","n/e","n/e","77","77","66"
"27.10.2022 17:00 - 27.10.2022 18:00","2","2","2","n/e","n/e","n/e","88","89","77"
"27.10.2022 18:00 - 27.10.2022 19:00","0","0","0","n/e","n/e","n/e","115","115","115"
"27.10.2022 19:00 - 27.10.2022 20:00","0","0","0","n/e","n/e","n/e","149","150","150"
"27.10.2022 20:00 - 27.10.2022 21:00","0","0","0","n/e","n/e","n/e","179","180","176"
"27.10.2022 21:00 - 27.10.2022 22:00","0","0","0","n/e","n/e","n/e","190","191","191"
"27.10.2022 22:00 - 27.10.2022 23:00","0","0","0","n/e","n/e","n/e","190","190","187"
"27.10.2022 23:00 - 28.10.2022 00:00","0","0","0","n/e","n/e","n/e","188","188","183"
"28.10.2022 00:00 - 28.10.2022 01:00","0","0","0","n/e","n/e","n/e","169","164","164"
"28.10.2022 01:00 - 28.10.2022 02:00","0","0","0","n/e","n/e","n/e","165","159","159"
"28.10.2022 02:00 - 28.10.2022 03:00","0","0","0","n/e","n/e","n/e","165","158","158"
"28.10.2022 03:00 - 28.10.2022 04:00","0","0","0","n/e","n/e","n/e","166","158","158"
"28.10.2022 04:00 - 28.10.2022 05:00","0","0","0","n/e","n/e","n/e","160","152","152"
"28.10.2022 05:00 - 28.10.2022 06:00","0","0","0","n/e","n/e","n/e","159","149","149"
"28.10.2022 06:00 - 28.10.2022 07:00","0","0","0","n/e","n/e","n/e","157","148","148"
"28.10.2022 07:00 - 28.10.2022 08:00","1","1","1","n/e","n/e","n/e","148","139","139"
"28.10.2022 08:00 - 28.10.2022 09:00","6","6","6","n/e","n/e","n/e","125","117","117"
"28.10.2022 09:00 - 28.10.2022 10:00","13","13","13","n/e","n/e","n/e","93","85","85"
"28.10.2022 10:00 - 28.10.2022 11:00","21","21","21","n/e","n/e","n/e","55","55","57"
"28.10.2022 11:00 - 28.10.2022 12:00","27","27","27","n/e","n/e","n/e","34","34","34"
"28.10.2022 12:00 - 28.10.2022 13:00","30","30","30","n/e","n/e","n/e","25","25","12"
"28.10.2022 13:00 - 28.10.2022 14:00","30","30","30","n/e","n/e","n/e","21","21","10"
"28.10.2022 14:00 - 28.10.2022 15:00","25","25","25","n/e","n/e","n/e","25","26","14"
"28.10.2022 15:00 - 28.10.2022 16:00","19","19","19","n/e","n/e","n/e","31","33","20"
"28.10.2022 16:00 - 28.10.2022 17:00","8","8","8","n/e","n/e","n/e","36","37","24"
"28.10.2022 17:00 - 28.10.2022 18:00","2","2","2","n/e","n/e","n/e","44","44","31"
"28.10.2022 18:00 - 28.10.2022 19:00","0","0","0","n/e","n/e","n/e","51","50","35"
"28.10.2022 19:00 - 28.10.2022 20:00","0","0","0","n/e","n/e","n/e","63","63","49"
"28.10.2022 20:00 - 28.10.2022 21:00","0","0","0","n/e","n/e","n/e","86","85","71"
"28.10.2022 21:00 - 28.10.2022 22:00","0","0","0","n/e","n/e","n/e","108","107","91"
"28.10.2022 22:00 - 28.10.2022 23:00","0","0","0","n/e","n/e","n/e","124","123","108"
"28.10.2022 23:00 - 29.10.2022 00:00","0","0","0","n/e","n/e","n/e","131","131","95"
"29.10.2022 00:00 - 29.10.2022 01:00","0","0","0","n/e","n/e","n/e","104","113","113"
"29.10.2022 01:00 - 29.10.2022 02:00","0","0","0","n/e","n/e","n/e","100","101","101"
"29.10.2022 02:00 - 29.10.2022 03:00","0","0","0","n/e","n/e","n/e","95","95","95"
"29.10.2022 03:00 - 29.10.2022 04:00","0","0","0","n/e","n/e","n/e","93","94","94"
"29.10.2022 04:00 - 29.10.2022 05:00","0","0","0","n/e","n/e","n/e","91","88","88"
"29.10.2022 05:00 - 29.10.2022 06:00","0","0","0","n/e","n/e","n/e","95","92","92"
"29.10.2022 06:00 - 29.10.2022 07:00","0","0","0","n/e","n/e","n/e","104","101","101"
"29.10.2022 07:00 - 29.10.2022 08:00","1","1","1","n/e","n/e","n/e","112","111","111"
"29.10.2022 08:00 - 29.10.2022 09:00","6","6","6","n/e","n/e","n/e","110","109","109"
"29.10.2022 09:00 - 29.10.2022 10:00","14","14","14","n/e","n/e","n/e","90","89","89"
"29.10.2022 10:00 - 29.10.2022 11:00","23","23","23","n/e","n/e","n/e","63","62","65"
"29.10.2022 11:00 - 29.10.2022 12:00","30","30","30","n/e","n/e","n/e","35","34","34"
"29.10.2022 12:00 - 29.10.2022 13:00","34","34","34","n/e","n/e","n/e","25","24","24"
"29.10.2022 13:00 - 29.10.2022 14:00","32","32","32","n/e","n/e","n/e","24","23","23"
"29.10.2022 14:00 - 29.10.2022 15:00","28","28","28","n/e","n/e","n/e","26","27","24"
"29.10.2022 15:00 - 29.10.2022 16:00","20","20","20","n/e","n/e","n/e","32","32","29"
"29.10.2022 16:00 - 29.10.2022 17:00","8","8","8","n/e","n/e","n/e","34","34","29"
"29.10.2022 17:00 - 29.10.2022 18:00","2","2","2","n/e","n/e","n/e","45","44","37"
"29.10.2022 18:00 - 29.10.2022 19:00","0","0","0","n/e","n/e","n/e","72","71","62"
"29.10.2022 19:00 - 29.10.2022 20:00","0","0","0","n/e","n/e","n/e","105","103","74"
"29.10.2022 20:00 - 29.10.2022 21:00","0","0","0","n/e","n/e","n/e","140","138","129"
"29.10.2022 21:00 - 29.10.2022 22:00","0","0","0","n/e","n/e","n/e","159","157","151"
"29.10.2022 22:00 - 29.10.2022 23:00","0","0","0","n/e","n/e","n/e","169","168","161"
"29.10.2022 23:00 - 30.10.2022 00:00","0","0","0","n/e","n/e","n/e","169","168","142"
"30.10.2022 00:00 - 30.10.2022 01:00","0","0","0","n/e","n/e","n/e","137","135","135"
"30.10.2022 01:00 - 30.10.2022 02:00","0","0","0","n/e","n/e","n/e","127","126","126"
"30.10.2022 02:00 - 30.10.2022 03:00","0","0","0","n/e","n/e","n/e","118","118","118"
"30.10.2022 02:00 - 30.10.2022 03:00","0","0","0","n/e","n/e","n/e","109","94","94"
"30.10.2022 03:00 - 30.10.2022 04:00","0","0","0","n/e","n/e","n/e","103","95","95"
"30.10.2022 04:00 - 30.10.2022 05:00","0","0","0","n/e","n/e","n/e","101","85","85"
"30.10.2022 05:00 - 30.10.2022 06:00","0","0","0","n/e","n/e","n/e","94","93","93"
"30.10.2022 06:00 - 30.10.2022 07:00","0","0","0","n/e","n/e","n/e","89","89","89"
"30.10.2022 07:00 - 30.10.2022 08:00","5","5","5","n/e","n/e","n/e","77","62","62"
"30.10.2022 08:00 - 30.10.2022 09:00","15","15","15","n/e","n/e","n/e","59","49","49"
"30.10.2022 09:00 - 30.10.2022 10:00","24","24","24","n/e","n/e","n/e","42","42","41"
"30.10.2022 10:00 - 30.10.2022 11:00","31","31","31","n/e","n/e","n/e","32","32","31"
"30.10.2022 11:00 - 30.10.2022 12:00","36","36","36","n/e","n/e","n/e","25","25","24"
"30.10.2022 12:00 - 30.10.2022 13:00","34","34","34","n/e","n/e","n/e","28","28","28"
"30.10.2022 13:00 - 30.10.2022 14:00","29","29","29","n/e","n/e","n/e","32","32","32"
"30.10.2022 14:00 - 30.10.2022 15:00","21","21","21","n/e","n/e","n/e","36","36","36"
"30.10.2022 15:00 - 30.10.2022 16:00","10","10","10","n/e","n/e","n/e","39","39","39"
"30.10.2022 16:00 - 30.10.2022 17:00","3","3","3","n/e","n/e","n/e","45","45","33"
"30.10.2022 17:00 - 30.10.2022 18:00","1","1","1","n/e","n/e","n/e","58","58","47"
"30.10.2022 18:00 - 30.10.2022 19:00","0","0","0","n/e","n/e","n/e","73","73","71"
"30.10.2022 19:00 - 30.10.2022 20:00","0","0","0","n/e","n/e","n/e","92","92","92"
"30.10.2022 20:00 - 30.10.2022 21:00","0","0","0","n/e","n/e","n/e","108","108","97"
"30.10.2022 21:00 - 30.10.2022 22:00","0","0","0","n/e","n/e","n/e","118","118","103"
"30.10.2022 22:00 - 30.10.2022 23:00","0","0","0","n/e","n/e","n/e","123","123","122"
"30.10.2022 23:00 - 31.10.2022 00:00","0","0","0","n/e","n/e","n/e","126","126","126"
"31.10.2022 00:00 - 31.10.2022 01:00","0","0","0","n/e","n/e","n/e","86","85","85"
"31.10.2022 01:00 - 31.10.2022 02:00","0","0","0","n/e","n/e","n/e","82","82","82"
"31.10.2022 02:00 - 31.10.2022 03:00","0","0","0","n/e","n/e","n/e","77","76","76"
"31.10.2022 03:00 - 31.10.2022 04:00","0","0","0","n/e","n/e","n/e","72","72","72"
"31.10.2022 04:00 - 31.10.2022 05:00","0","0","0","n/e","n/e","n/e","70","69","69"
"31.10.2022 05:00 - 31.10.2022 06:00","0","0","0","n/e","n/e","n/e","67","68","68"
"31.10.2022 06:00 - 31.10.2022 07:00","1","1","1","n/e","n/e","n/e","64","65","65"
"31.10.2022 07:00 - 31.10.2022 08:00","5","5","5","n/e","n/e","n/e","56","56","56"
"31.10.2022 08:00 - 31.10.2022 09:00","14","14","14","n/e","n/e","n/e","44","44","44"
"31.10.2022 09:00 - 31.10.2022 10:00","23","23","23","n/e","n/e","n/e","28","28","28"
"31.10.2022 10:00 - 31.10.2022 11:00","31","31","31","n/e","n/e","n/e","17","17","17"
"31.10.2022 11:00 - 31.10.2022 12:00","34","34","34","n/e","n/e","n/e","14","14","12"
"31.10.2022 12:00 - 31.10.2022 13:00","33","33","33","n/e","n/e","n/e","13","13","10"
"31.10.2022 13:00 - 31.10.2022 14:00","29","29","29","n/e","n/e","n/e","17","17","13"
"31.10.2022 14:00 - 31.10.2022 15:00","20","20","20","n/e","n/e","n/e","18","18","13"
"31.10.2022 15:00 - 31.10.2022 16:00","9","9","9","n/e","n/e","n/e","21","20","24"
"31.10.2022 16:00 - 31.10.2022 17:00","3","3","3","n/e","n/e","n/e","22","22","25"
"31.10.2022 17:00 - 31.10.2022 18:00","0","0","0","n/e","n/e","n/e","22","22","28"
"31.10.2022 18:00 - 31.10.2022 19:00","0","0","0","n/e","n/e","n/e","24","23","26"
"31.10.2022 19:00 - 31.10.2022 20:00","0","0","0","n/e","n/e","n/e","31","31","31"
"31.10.2022 20:00 - 31.10.2022 21:00","0","0","0","n/e","n/e","n/e","38","37","28"
"31.10.2022 21:00 - 31.10.2022 22:00","0","0","0","n/e","n/e","n/e","44","43","32"
"31.10.2022 22:00 - 31.10.2022 23:00","0","0","0","n/e","n/e","n/e","48","48","33"
"31.10.2022 23:00 - 01.11.2022 00:00","0","0","0","n/e","n/e","n/e","49","49","26"
"01.11.2022 00:00 - 01.11.2022 01:00","0","0","0","n/e","n/e","n/e","49","45","45"
"01.11.2022 01:00 - 01.11.2022 02:00","0","0","0","n/e","n/e","n/e","51","48","48"
"01.11.2022 02:00 - 01.11.2022 03:00","0","0","0","n/e","n/e","n/e","56","51","51"
"01.11.2022 03:00 - 01.11.2022 04:00","0","0","0","n/e","n/e","n/e","56","51","51"
"01.11.2022 04:00 - 01.11.2022 05:00","0","0","0","n/e","n/e","n/e","54","49","49"
"01.11.2022 05:00 - 01.11.2022 06:00","0","0","0","n/e","n/e","n/e","52","53","53"
"01.11.2022 06:00 - 01.11.2022 07:00","0","0","0","n/e","n/e","n/e","50","50","50"
"01.11.2022 07:00 - 01.11.2022 08:00","5","5","5","n/e","n/e","n/e","50","50","50"
"01.11.2022 08:00 - 01.11.2022 09:00","15","15","15","n/e","n/e","n/e","54","70","70"
"01.11.2022 09:00 - 01.11.2022 10:00","25","25","25","n/e","n/e","n/e","63","63","81"
"01.11.2022 10:00 - 01.11.2022 11:00","32","32","32","n/e","n/e","n/e","76","76","81"
"01.11.2022 11:00 - 01.11.2022 12:00","36","36","36","n/e","n/e","n/e","96","97","97"
"01.11.2022 12:00 - 01.11.2022 13:00","35","35","35","n/e","n/e","n/e","109","110","92"
"01.11.2022 13:00 - 01.11.2022 14:00","30","30","30","n/e","n/e","n/e","113","113","73"
"01.11.2022 14:00 - 01.11.2022 15:00","20","20","20","n/e","n/e","n/e","111","110","95"
"01.11.2022 15:00 - 01.11.2022 16:00","9","9","9","n/e","n/e","n/e","105","105","115"
"01.11.2022 16:00 - 01.11.2022 17:00","3","3","3","n/e","n/e","n/e","102","102","118"
"01.11.2022 17:00 - 01.11.2022 18:00","0","0","0","n/e","n/e","n/e","93","93","123"
"01.11.2022 18:00 - 01.11.2022 19:00","0","0","0","n/e","n/e","n/e","85","85","90"
"01.11.2022 19:00 - 01.11.2022 20:00","0","0","0","n/e","n/e","n/e","80","80","120"
"01.11.2022 20:00 - 01.11.2022 21:00","0","0","0","n/e","n/e","n/e","76","77","122"
"01.11.2022 21:00 - 01.11.2022 22:00","0","0","0","n/e","n/e","n/e","70","70","95"
"01.11.2022 22:00 - 01.11.2022 23:00","0","0","0","n/e","n/e","n/e","61","61","111"
"01.11.2022 23:00 - 02.11.2022 00:00","0","0","0","n/e","n/e","n/e","51","51","51"
"02.11.2022 00:00 - 02.11.2022 01:00","0","0","0","n/e","n/e","n/e","35","75","75"
"02.11.2022 01:00 - 02.11.2022 02:00","0","0","0","n/e","n/e","n/e","30","81","81"
"02.11.2022 02:00 - 02.11.2022 03:00","0","0","0","n/e","n/e","n/e","27","74","74"
"02.11.2022 03:00 - 02.11.2022 04:00","0","0","0","n/e","n/e","n/e","25","61","61"
"02.11.2022 04:00 - 02.11.2022 05:00","0","0","0","n/e","n/e","n/e","24","16","16"
"02.11.2022 05:00 - 02.11.2022 06:00","0","0","0","n/e","n/e","n/e","23","16","16"
"02.11.2022 06:00 - 02.11.2022 07:00","0","0","0","n/e","n/e","n/e","22","16","16"
"02.11.2022 07:00 - 02.11.2022 08:00","3","3","3","n/e","n/e","n/e","19","14","14"
"02.11.2022 08:00 - 02.11.2022 09:00","11","11","11","n/e","n/e","n/e","18","15","15"
"02.11.2022 09:00 - 02.11.2022 10:00","18","18","18","n/e","n/e","n/e","13","14","11"
"02.11.2022 10:00 - 02.11.2022 11:00","26","26","26","n/e","n/e","n/e","10","11","11"
"02.11.2022 11:00 - 02.11.2022 12:00","30","30","30","n/e","n/e","n/e","13","13","13"
"02.11.2022 12:00 - 02.11.2022 13:00","29","29","29","n/e","n/e","n/e","22","23","23"
"02.11.2022 13:00 - 02.11.2022 14:00","25","25","25","n/e","n/e","n/e","26","29","28"
"02.11.2022 14:00 - 02.11.2022 15:00","16","16","16","n/e","n/e","n/e","31","34","33"
"02.11.2022 15:00 - 02.11.2022 16:00","7","7","7","n/e","n/e","n/e","36","38","38"
"02.11.2022 16:00 - 02.11.2022 17:00","1","1","1","n/e","n/e","n/e","35","36","37"
"02.11.2022 17:00 - 02.11.2022 18:00","0","0","0","n/e","n/e","n/e","35","36","38"
"02.11.2022 18:00 - 02.11.2022 19:00","0","0","0","n/e","n/e","n/e","37","37","34"
"02.11.2022 19:00 - 02.11.2022 20:00","0","0","0","n/e","n/e","n/e","37","38","31"
"02.11.2022 20:00 - 02.11.2022 21:00","0","0","0","n/e","n/e","n/e","40","40","31"
"02.11.2022 21:00 - 02.11.2022 22:00","0","0","0","n/e","n/e","n/e","42","42","30"
"02.11.2022 22:00 - 02.11.2022 23:00","0","0","0","n/e","n/e","n/e","50","49","48"
"02.11.2022 23:00 - 03.11.2022 00:00","0","0","0","n/e","n/e","n/e","61","60","42"
"03.11.2022 00:00 - 03.11.2022 01:00","0","0","0","n/e","n/e","n/e","93","75","75"
"03.11.2022 01:00 - 03.11.2022 02:00","0","0","0","n/e","n/e","n/e","91","93","93"
"03.11.2022 02:00 - 03.11.2022 03:00","0","0","0","n/e","n/e","n/e","89","94","94"
"03.11.2022 03:00 - 03.11.2022 04:00","0","0","0","n/e","n/e","n/e","85","85","85"
"03.11.2022 04:00 - 03.11.2022 05:00","0","0","0","n/e","n/e","n/e","80","68","68"
"03.11.2022 05:00 - 03.11.2022 06:00","0","0","0","n/e","n/e","n/e","72","72","72"
"03.11.2022 06:00 - 03.11.2022 07:00","1","1","1","n/e","n/e","n/e","57","47","47"
"03.11.2022 07:00 - 03.11.2022 08:00","4","4","4","n/e","n/e","n/e","41","41","41"
"03.11.2022 08:00 - 03.11.2022 09:00","11","11","11","n/e","n/e","n/e","22","22","22"
"03.11.2022 09:00 - 03.11.2022 10:00","20","20","20","n/e","n/e","n/e","11","11","10"
"03.11.2022 10:00 - 03.11.2022 11:00","27","27","27","n/e","n/e","n/e","10","10","7"
"03.11.2022 11:00 - 03.11.2022 12:00","32","32","32","n/e","n/e","n/e","17","17","12"
"03.11.2022 12:00 - 03.11.2022 13:00","30","30","30","n/e","n/e","n/e","34","34","34"
"03.11.2022 13:00 - 03.11.2022 14:00","26","26","26","n/e","n/e","n/e","46","46","47"
"03.11.2022 14:00 - 03.11.2022 15:00","18","18","18","n/e","n/e","n/e","55","55","60"
"03.11.2022 15:00 - 03.11.2022 16:00","9","9","9","n/e","n/e","n/e","59","59","59"
"03.11.2022 16:00 - 03.11.2022 17:00","2","2","2","n/e","n/e","n/e","61","61","61"
"03.11.2022 17:00 - 03.11.2022 18:00","0","0","0","n/e","n/e","n/e","59","59","59"
"03.11.2022 18:00 - 03.11.2022 19:00","0","0","0","n/e","n/e","n/e","56","56","59"
"03.11.2022 19:00 - 03.11.2022 20:00","0","0","0","n/e","n/e","n/e","68","68","60"
"03.11.2022 20:00 - 03.11.2022 21:00","0","0","0","n/e","n/e","n/e","94","94","60"
"03.11.2022 21:00 - 03.11.2022 22:00","0","0","0","n/e","n/e","n/e","127","127","94"
"03.11.2022 22:00 - 03.11.2022 23:00","0","0","0","n/e","n/e","n/e","164","164","144"
"03.11.2022 23:00 - 04.11.2022 00:00","0","0","0","n/e","n/e","n/e","215","215","196"
"04.11.2022 00:00 - 04.11.2022 01:00","0","0","0","n/e","n/e","n/e","267","259","259"
"04.11.2022 01:00 - 04.11.2022 02:00","0","0","0","n/e","n/e","n/e","310","309","309"
"04.11.2022 02:00 - 04.11.2022 03:00","0","0","0","n/e","n/e","n/e","354","350","350"
"04.11.2022 03:00 - 04.11.2022 04:00","0","0","0","n/e","n/e","n/e","397","397","397"
"04.11.2022 04:00 - 04.11.2022 05:00","0","0","0","n/e","n/e","n/e","441","427","427"
"04.11.2022 05:00 - 04.11.2022 06:00","0","0","0","n/e","n/e","n/e","492","480","480"
"04.11.2022 06:00 - 04.11.2022 07:00","0","0","0","n/e","n/e","n/e","554","550","550"
"04.11.2022 07:00 - 04.11.2022 08:00","2","2","2","n/e","n/e","n/e","619","619","619"
"04.11.2022 08:00 - 04.11.2022 09:00","3","3","3","n/e","n/e","n/e","667","627","627"
"04.11.2022 09:00 - 04.11.2022 10:00","5","5","5","n/e","n/e","n/e","720","660","640"
"04.11.2022 10:00 - 04.11.2022 11:00","6","6","6","n/e","n/e","n/e","752","751","683"
"04.11.2022 11:00 - 04.11.2022 12:00","8","8","8","n/e","n/e","n/e","772","772","772"
"04.11.2022 12:00 - 04.11.2022 13:00","7","7","7","n/e","n/e","n/e","784","783","783"
"04.11.2022 13:00 - 04.11.2022 14:00","6","6","6","n/e","n/e","n/e","791","787","788"
"04.11.2022 14:00 - 04.11.2022 15:00","4","4","4","n/e","n/e","n/e","789","786","753"
"04.11.2022 15:00 - 04.11.2022 16:00","2","2","2","n/e","n/e","n/e","773","768","712"
"04.11.2022 16:00 - 04.11.2022 17:00","0","0","0","n/e","n/e","n/e","737","732","657"
"04.11.2022 17:00 - 04.11.2022 18:00","0","0","0","n/e","n/e","n/e","680","678","559"
"04.11.2022 18:00 - 04.11.2022 19:00","0","0","0","n/e","n/e","n/e","592","595","432"
"04.11.2022 19:00 - 04.11.2022 20:00","0","0","0","n/e","n/e","n/e","494","501","370"
"04.11.2022 20:00 - 04.11.2022 21:00","0","0","0","n/e","n/e","n/e","396","403","305"
"04.11.2022 21:00 - 04.11.2022 22:00","0","0","0","n/e","n/e","n/e","303","305","254"
"04.11.2022 22:00 - 04.11.2022 23:00","0","0","0","n/e","n/e","n/e","217","217","219"
"04.11.2022 23:00 - 05.11.2022 00:00","0","0","0","n/e","n/e","n/e","164","164","165"
"05.11.2022 00:00 - 05.11.2022 01:00","0","0","0","n/e","n/e","n/e","288","341","341"
"05.11.2022 01:00 - 05.11.2022 02:00","0","0","0","n/e","n/e","n/e","319","418","418"
"05.11.2022 02:00 - 05.11.2022 03:00","0","0","0","n/e","n/e","n/e","356","507","507"
"05.11.2022 03:00 - 05.11.2022 04:00","0","0","0","n/e","n/e","n/e","406","534","534"
"05.11.2022 04:00 - 05.11.2022 05:00","0","0","0","n/e","n/e","n/e","482","564","564"
"05.11.2022 05:00 - 05.11.2022 06:00","0","0","0","n/e","n/e","n/e","540","594","594"
"05.11.2022 06:00 - 05.11.2022 07:00","0","0","0","n/e","n/e","n/e","583","623","623"
"05.11.2022 07:00 - 05.11.2022 08:00","1","1","1","n/e","n/e","n/e","627","669","669"
"05.11.2022 08:00 - 05.11.2022 09:00","4","4","4","n/e","n/e","n/e","668","690","690"
"05.11.2022 09:00 - 05.11.2022 10:00","5","5","5","n/e","n/e","n/e","702","709","774"
"05.11.2022 10:00 - 05.11.2022 11:00","9","9","9","n/e","n/e","n/e","735","732","769"
"05.11.2022 11:00 - 05.11.2022 12:00","10","10","10","n/e","n/e","n/e","759","757","770"
"05.11.2022 12:00 - 05.11.2022 13:00","9","9","9","n/e","n/e","n/e","779","778","805"
"05.11.2022 13:00 - 05.11.2022 14:00","8","8","8","n/e","n/e","n/e","790","788","807"
"05.11.2022 14:00 - 05.11.2022 15:00","6","6","6","n/e","n/e","n/e","796","794","813"
"05.11.2022 15:00 - 05.11.2022 16:00","3","3","3","n/e","n/e","n/e","790","788","812"
"05.11.2022 16:00 - 05.11.2022 17:00","0","0","0","n/e","n/e","n/e","790","789","819"
"05.11.2022 17:00 - 05.11.2022 18:00","0","0","0","n/e","n/e","n/e","788","787","815"
"05.11.2022 18:00 - 05.11.2022 19:00","0","0","0","n/e","n/e","n/e","783","781","810"
"05.11.2022 19:00 - 05.11.2022 20:00","0","0","0","n/e","n/e","n/e","780","778","805"
"05.11.2022 20:00 - 05.11.2022 21:00","0","0","0","n/e","n/e","n/e","768","767","793"
"05.11.2022 21:00 - 05.11.2022 22:00","0","0","0","n/e","n/e","n/e","752","751","747"
"05.11.2022 22:00 - 05.11.2022 23:00","0","0","0","n/e","n/e","n/e","752","753","748"
"05.11.2022 23:00 - 06.11.2022 00:00","0","0","0","n/e","n/e","n/e","759","759","786"
"06.11.2022 00:00 - 06.11.2022 01:00","0","0","0","n/e","n/e","n/e","774","794","794"
"06.11.2022 01:00 - 06.11.2022 02:00","0","0","0","n/e","n/e","n/e","777","796","796"
"06.11.2022 02:00 - 06.11.2022 03:00","0","0","0","n/e","n/e","n/e","779","779","779"
"06.11.2022 03:00 - 06.11.2022 04:00","0","0","0","n/e","n/e","n/e","781","798","798"
"06.11.2022 04:00 - 06.11.2022 05:00","0","0","0","n/e","n/e","n/e","783","783","783"
"06.11.2022 05:00 - 06.11.2022 06:00","0","0","0","n/e","n/e","n/e","782","798","798"
"06.11.2022 06:00 - 06.11.2022 07:00","0","0","0","n/e","n/e","n/e","783","792","792"
"06.11.2022 07:00 - 06.11.2022 08:00","3","3","3","n/e","n/e","n/e","782","801","801"
"06.11.2022 08:00 - 06.11.2022 09:00","7","7","7","n/e","n/e","n/e","773","792","792"
"06.11.2022 09:00 - 06.11.2022 10:00","14","14","14","n/e","n/e","n/e","751","756","756"
"06.11.2022 10:00 - 06.11.2022 11:00","18","18","18","n/e","n/e","n/e","729","729","716"
"06.11.2022 11:00 - 06.11.2022 12:00","21","21","21","n/e","n/e","n/e","690","689","685"
"06.11.2022 12:00 - 06.11.2022 13:00","20","20","20","n/e","n/e","n/e","631","633","638"
"06.11.2022 13:00 - 06.11.2022 14:00","19","19","19","n/e","n/e","n/e","570","577","594"
"06.11.2022 14:00 - 06.11.2022 15:00","13","13","13","n/e","n/e","n/e","526","536","567"
"06.11.2022 15:00 - 06.11.2022 16:00","7","7","7","n/e","n/e","n/e","487","496","517"
"06.11.2022 16:00 - 06.11.2022 17:00","2","2","2","n/e","n/e","n/e","457","461","467"
"06.11.2022 17:00 - 06.11.2022 18:00","0","0","0","n/e","n/e","n/e","426","428","437"
"06.11.2022 18:00 - 06.11.2022 19:00","0","0","0","n/e","n/e","n/e","375","377","416"
"06.11.2022 19:00 - 06.11.2022 20:00","0","0","0","n/e","n/e","n/e","327","329","330"
"06.11.2022 20:00 - 06.11.2022 21:00","0","0","0","n/e","n/e","n/e","294","296","288"
"06.11.2022 21:00 - 06.11.2022 22:00","0","0","0","n/e","n/e","n/e","233","234","225"
"06.11.2022 22:00 - 06.11.2022 23:00","0","0","0","n/e","n/e","n/e","177","176","177"
"06.11.2022 23:00 - 07.11.2022 00:00","0","0","0","n/e","n/e","n/e","138","138","137"
"07.11.2022 00:00 - 07.11.2022 01:00","0","0","0","n/e","n/e","n/e","118","117","117"
"07.11.2022 01:00 - 07.11.2022 02:00","0","0","0","n/e","n/e","n/e","100","99","99"
"07.11.2022 02:00 - 07.11.2022 03:00","0","0","0","n/e","n/e","n/e","90","89","89"
"07.11.2022 03:00 - 07.11.2022 04:00","0","0","0","n/e","n/e","n/e","85","83","83"
"07.11.2022 04:00 - 07.11.2022 05:00","0","0","0","n/e","n/e","n/e","82","70","70"
"07.11.2022 05:00 - 07.11.2022 06:00","0","0","0","n/e","n/e","n/e","84","70","70"
"07.11.2022 06:00 - 07.11.2022 07:00","1","1","1","n/e","n/e","n/e","88","69","69"
"07.11.2022 07:00 - 07.11.2022 08:00","4","4","4","n/e","n/e","n/e","95","68","68"
"07.11.2022 08:00 - 07.11.2022 09:00","12","12","12","n/e","n/e","n/e","114","61","61"
"07.11.2022 09:00 - 07.11.2022 10:00","20","20","20","n/e","n/e","n/e","142","141","97"
"07.11.2022 10:00 - 07.11.2022 11:00","27","27","27","n/e","n/e","n/e","153","152","152"
