MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
02.01.2022 05:00 - 02.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,11,18,18
02.01.2022 06:00 - 02.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,20,24,24
02.01.2022 07:00 - 02.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,27,28,28
02.01.2022 08:00 - 02.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,31,25,25
02.01.2022 09:00 - 02.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,23,20,19
02.01.2022 10:00 - 02.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,21,22,22
02.01.2022 11:00 - 02.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,22,20,21
02.01.2022 12:00 - 02.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,15,14,14
02.01.2022 13:00 - 02.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,11,10,10
02.01.2022 14:00 - 02.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
02.01.2022 15:00 - 02.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
02.01.2022 16:00 - 02.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
02.01.2022 17:00 - 02.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
02.01.2022 18:00 - 02.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,7,6,6
02.01.2022 19:00 - 02.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
02.01.2022 20:00 - 02.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
02.01.2022 21:00 - 02.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
02.01.2022 22:00 - 02.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
02.01.2022 23:00 - 03.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
03.01.2022 00:00 - 03.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
03.01.2022 01:00 - 03.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,3,4,4
03.01.2022 02:00 - 03.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
03.01.2022 03:00 - 03.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,4,5,5
03.01.2022 04:00 - 03.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,4,7,7
03.01.2022 05:00 - 03.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,4,8,8
03.01.2022 06:00 - 03.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,3,7,7
03.01.2022 07:00 - 03.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,5,9,9
03.01.2022 08:00 - 03.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,6,8,8
03.01.2022 09:00 - 03.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,6,8,8
