MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
10.01.2022 13:00 - 10.01.2022 14:00,19,19,19,N/A,n/e,n/e,471,471,471
10.01.2022 14:00 - 10.01.2022 15:00,8,8,8,N/A,n/e,n/e,495,495,495
10.01.2022 15:00 - 10.01.2022 16:00,1,1,1,N/A,n/e,n/e,534,534,534
10.01.2022 16:00 - 10.01.2022 17:00,0,0,0,N/A,n/e,n/e,557,557,557
10.01.2022 17:00 - 10.01.2022 18:00,0,0,0,N/A,n/e,n/e,564,564,564
10.01.2022 18:00 - 10.01.2022 19:00,0,0,0,N/A,n/e,n/e,567,567,567
10.01.2022 19:00 - 10.01.2022 20:00,0,0,0,N/A,n/e,n/e,568,568,568
10.01.2022 20:00 - 10.01.2022 21:00,0,0,0,N/A,n/e,n/e,582,582,582
10.01.2022 21:00 - 10.01.2022 22:00,0,0,0,N/A,n/e,n/e,587,587,587
10.01.2022 22:00 - 10.01.2022 23:00,0,0,0,N/A,n/e,n/e,593,593,593
10.01.2022 23:00 - 11.01.2022 00:00,0,0,0,N/A,n/e,n/e,612,612,612
11.01.2022 00:00 - 11.01.2022 01:00,0,0,0,N/A,n/e,n/e,610,610,610
11.01.2022 01:00 - 11.01.2022 02:00,0,0,0,N/A,n/e,n/e,618,618,618
11.01.2022 02:00 - 11.01.2022 03:00,0,0,0,N/A,n/e,n/e,622,622,622
11.01.2022 03:00 - 11.01.2022 04:00,0,0,0,N/A,n/e,n/e,627,627,627
11.01.2022 04:00 - 11.01.2022 05:00,0,0,0,N/A,n/e,n/e,630,630,630
11.01.2022 05:00 - 11.01.2022 06:00,0,0,0,N/A,n/e,n/e,636,636,636
11.01.2022 06:00 - 11.01.2022 07:00,0,0,0,N/A,n/e,n/e,640,640,640
11.01.2022 07:00 - 11.01.2022 08:00,4,4,4,N/A,n/e,n/e,638,638,638
11.01.2022 08:00 - 11.01.2022 09:00,21,21,21,N/A,n/e,n/e,637,637,637
11.01.2022 09:00 - 11.01.2022 10:00,47,47,47,N/A,n/e,n/e,636,636,636
11.01.2022 10:00 - 11.01.2022 11:00,75,75,75,N/A,n/e,n/e,634,634,634
11.01.2022 11:00 - 11.01.2022 12:00,83,83,83,N/A,n/e,n/e,632,632,632
11.01.2022 12:00 - 11.01.2022 13:00,80,80,80,N/A,n/e,n/e,629,629,629
11.01.2022 13:00 - 11.01.2022 14:00,60,60,60,N/A,n/e,n/e,626,626,626
