MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
02.01.2022 22:00 - 02.01.2022 22:15,0,0,0,6298,6403,6298,32341,32725,32341
02.01.2022 22:15 - 02.01.2022 22:30,0,0,0,6305,6408,6305,32096,32413,32096
02.01.2022 22:30 - 02.01.2022 22:45,0,0,0,6311,6409,6311,31983,32161,31983
02.01.2022 22:45 - 02.01.2022 23:00,0,0,0,6316,6410,6316,31846,31887,31846
02.01.2022 23:00 - 02.01.2022 23:15,0,0,0,6324,6409,6324,31698,31610,31698
02.01.2022 23:15 - 02.01.2022 23:30,0,0,0,6343,6415,6343,31618,31445,31618
02.01.2022 23:30 - 02.01.2022 23:45,0,0,0,6364,6426,6364,31538,31263,31538
02.01.2022 23:45 - 03.01.2022 00:00,0,0,0,6377,6434,6377,31431,31090,31431
03.01.2022 00:00 - 03.01.2022 00:15,0,0,0,6291,5850,6291,30241,28938,30241
03.01.2022 00:15 - 03.01.2022 00:30,0,0,0,6377,6044,6377,30266,29195,30266
03.01.2022 00:30 - 03.01.2022 00:45,0,0,0,6456,6307,6456,30226,29298,30226
03.01.2022 00:45 - 03.01.2022 01:00,0,0,0,6368,6515,6368,30157,29369,30157
03.01.2022 01:00 - 03.01.2022 01:15,0,0,0,6323,6342,6323,30073,29221,30073
03.01.2022 01:15 - 03.01.2022 01:30,0,0,0,6349,6334,6349,30138,29074,30138
03.01.2022 01:30 - 03.01.2022 01:45,0,0,0,6375,6308,6375,30335,28832,30335
03.01.2022 01:45 - 03.01.2022 02:00,0,0,0,6396,6220,6396,30558,28660,30558
03.01.2022 02:00 - 03.01.2022 02:15,0,0,0,6412,6194,6412,30773,28456,30773
03.01.2022 02:15 - 03.01.2022 02:30,0,0,0,6427,6060,6427,31006,29328,31006
03.01.2022 02:30 - 03.01.2022 02:45,0,0,0,6430,6006,6430,31234,29591,31234
03.01.2022 02:45 - 03.01.2022 03:00,0,0,0,6436,5932,6436,31466,29099,31466
03.01.2022 03:00 - 03.01.2022 03:15,0,0,0,6439,5791,6439,31679,29074,31679
03.01.2022 03:15 - 03.01.2022 03:30,0,0,0,6431,5798,6431,31829,28784,31829
03.01.2022 03:30 - 03.01.2022 03:45,0,0,0,6426,5773,6426,32012,28258,32012
03.01.2022 03:45 - 03.01.2022 04:00,0,0,0,6417,5880,6417,32176,28060,32176
03.01.2022 04:00 - 03.01.2022 04:15,0,0,0,6405,5769,6405,32324,27744,32324
03.01.2022 04:15 - 03.01.2022 04:30,0,0,0,6411,5766,6411,32440,28094,32440
03.01.2022 04:30 - 03.01.2022 04:45,0,0,0,6415,5669,6415,32545,28773,32545
03.01.2022 04:45 - 03.01.2022 05:00,0,0,0,6346,5670,6346,32793,29463,32793
