Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
06.01.2022 02:30 - 06.01.2022 03:00,0,0,0,0,0,0,1060,1060,1060
06.01.2022 03:00 - 06.01.2022 03:30,0,0,0,0,0,0,1244,1244,1244
06.01.2022 03:30 - 06.01.2022 04:00,0,0,0,0,0,0,1464,1464,1464
06.01.2022 04:00 - 06.01.2022 04:30,0,0,0,0,0,0,1568,1568,1568
06.01.2022 04:30 - 06.01.2022 05:00,0,0,0,0,0,0,1693,1693,1693
06.01.2022 05:00 - 06.01.2022 05:30,0,0,0,0,0,0,1810,1810,1810
06.01.2022 05:30 - 06.01.2022 06:00,0,0,0,0,0,0,1947,1947,1947
06.01.2022 06:00 - 06.01.2022 06:30,0,0,0,0,0,0,2023,2023,2023
06.01.2022 06:30 - 06.01.2022 07:00,0,0,0,0,0,0,2117,2117,2117
06.01.2022 07:00 - 06.01.2022 07:30,0,0,0,0,0,0,2264,2264,2264
06.01.2022 07:30 - 06.01.2022 08:00,0,0,0,0,0,0,2424,2424,2424
06.01.2022 08:00 - 06.01.2022 08:30,9,9,9,0,0,0,2571,2571,2571
06.01.2022 08:30 - 06.01.2022 09:00,303,303,303,0,0,0,2713,2713,2713
06.01.2022 09:00 - 06.01.2022 09:30,799,799,799,0,0,0,2941,2941,2941
06.01.2022 09:30 - 06.01.2022 10:00,1224,1224,1224,0,0,0,3161,3161,3161
06.01.2022 10:00 - 06.01.2022 10:30,1462,1462,1462,0,0,0,3311,3311,3311
06.01.2022 10:30 - 06.01.2022 11:00,1249,1249,1249,0,0,0,3452,3452,3452
06.01.2022 11:00 - 06.01.2022 11:30,1040,1040,1040,0,0,0,3660,3660,3660
06.01.2022 11:30 - 06.01.2022 12:00,955,955,955,0,0,0,3850,3850,3850
06.01.2022 12:00 - 06.01.2022 12:30,694,694,694,0,0,0,3925,3925,3925
06.01.2022 12:30 - 06.01.2022 13:00,579,579,579,0,0,0,4012,4012,4012
06.01.2022 13:00 - 06.01.2022 13:30,517,517,517,0,0,0,4103,4103,4103
06.01.2022 13:30 - 06.01.2022 14:00,430,430,430,0,0,0,4140,4140,4140
06.01.2022 14:00 - 06.01.2022 14:30,466,466,466,0,0,0,4173,4173,4173
06.01.2022 14:30 - 06.01.2022 15:00,278,278,278,0,0,0,4104,4104,4104
