Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
10.01.2022 11:00 - 10.01.2022 11:30,41539,41539
10.01.2022 11:30 - 10.01.2022 12:00,41466,41466
10.01.2022 12:00 - 10.01.2022 12:30,41769,41769
10.01.2022 12:30 - 10.01.2022 13:00,41732,41732
10.01.2022 13:00 - 10.01.2022 13:30,41265,41265
10.01.2022 13:30 - 10.01.2022 14:00,40633,40633
10.01.2022 14:00 - 10.01.2022 14:30,40116,40116
10.01.2022 14:30 - 10.01.2022 15:00,40031,40031
10.01.2022 15:00 - 10.01.2022 15:30,39707,39707
10.01.2022 15:30 - 10.01.2022 16:00,40437,40437
10.01.2022 16:00 - 10.01.2022 16:30,41995,41995
10.01.2022 16:30 - 10.01.2022 17:00,43007,43007
10.01.2022 17:00 - 10.01.2022 17:30,43880,43880
10.01.2022 17:30 - 10.01.2022 18:00,43714,43714
10.01.2022 18:00 - 10.01.2022 18:30,42991,42991
10.01.2022 18:30 - 10.01.2022 19:00,42243,42243
10.01.2022 19:00 - 10.01.2022 19:30,41116,41116
10.01.2022 19:30 - 10.01.2022 20:00,39513,39513
10.01.2022 20:00 - 10.01.2022 20:30,38169,38169
10.01.2022 20:30 - 10.01.2022 21:00,37076,37076
10.01.2022 21:00 - 10.01.2022 21:30,35210,35210
10.01.2022 21:30 - 10.01.2022 22:00,33329,33329
10.01.2022 22:00 - 10.01.2022 22:30,31343,31343
10.01.2022 22:30 - 10.01.2022 23:00,29483,29483
10.01.2022 23:00 - 10.01.2022 23:30,27598,27598
10.01.2022 23:30 - 11.01.2022 00:00,26320,26320
11.01.2022 00:00 - 11.01.2022 00:30,26152,26152
11.01.2022 00:30 - 11.01.2022 01:00,26715,26715
11.01.2022 01:00 - 11.01.2022 01:30,26603,26603
11.01.2022 01:30 - 11.01.2022 02:00,26041,26041
11.01.2022 02:00 - 11.01.2022 02:30,25746,25746
11.01.2022 02:30 - 11.01.2022 03:00,25370,25370
11.01.2022 03:00 - 11.01.2022 03:30,25101,25101
11.01.2022 03:30 - 11.01.2022 04:00,24681,24681
11.01.2022 04:00 - 11.01.2022 04:30,24471,24471
11.01.2022 04:30 - 11.01.2022 05:00,24615,24615
11.01.2022 05:00 - 11.01.2022 05:30,25306,25306
11.01.2022 05:30 - 11.01.2022 06:00,26434,26434
11.01.2022 06:00 - 11.01.2022 06:30,29208,29208
11.01.2022 06:30 - 11.01.2022 07:00,32008,32008
11.01.2022 07:00 - 11.01.2022 07:30,35474,35474
11.01.2022 07:30 - 11.01.2022 08:00,37506,37506
11.01.2022 08:00 - 11.01.2022 08:30,38688,38688
11.01.2022 08:30 - 11.01.2022 09:00,38846,38846
11.01.2022 09:00 - 11.01.2022 09:30,39839,39839
11.01.2022 09:30 - 11.01.2022 10:00,39802,39802
11.01.2022 10:00 - 11.01.2022 10:30,39862,39862
11.01.2022 10:30 - 11.01.2022 11:00,39775,39775
11.01.2022 11:00 - 11.01.2022 11:30,39818,39818
11.01.2022 11:30 - 11.01.2022 12:00,39623,39623
11.01.2022 12:00 - 11.01.2022 12:30,40205,40205
11.01.2022 12:30 - 11.01.2022 13:00,40094,40094
11.01.2022 13:00 - 11.01.2022 13:30,39915,39915
11.01.2022 13:30 - 11.01.2022 14:00,39631,39631
11.01.2022 14:00 - 11.01.2022 14:30,39495,39495
11.01.2022 14:30 - 11.01.2022 15:00,39195,39195
11.01.2022 15:00 - 11.01.2022 15:30,39428,39428
11.01.2022 15:30 - 11.01.2022 16:00,40324,40324
11.01.2022 16:00 - 11.01.2022 16:30,41244,41244
11.01.2022 16:30 - 11.01.2022 17:00,42546,42546
11.01.2022 17:00 - 11.01.2022 17:30,43761,43761
11.01.2022 17:30 - 11.01.2022 18:00,43460,43460
11.01.2022 18:00 - 11.01.2022 18:30,42933,42933
11.01.2022 18:30 - 11.01.2022 19:00,42367,42367
11.01.2022 19:00 - 11.01.2022 19:30,41537,41537
11.01.2022 19:30 - 11.01.2022 20:00,40390,40390
11.01.2022 20:00 - 11.01.2022 20:30,39131,39131
11.01.2022 20:30 - 11.01.2022 21:00,37607,37607
11.01.2022 21:00 - 11.01.2022 21:30,35901,35901
11.01.2022 21:30 - 11.01.2022 22:00,34087,34087
11.01.2022 22:00 - 11.01.2022 22:30,31915,31915
11.01.2022 22:30 - 11.01.2022 23:00,29912,29912
11.01.2022 23:00 - 11.01.2022 23:30,27895,27895
11.01.2022 23:30 - 12.01.2022 00:00,26703,26703
12.01.2022 00:00 - 12.01.2022 00:30,26446,26446
12.01.2022 00:30 - 12.01.2022 01:00,26830,26830
12.01.2022 01:00 - 12.01.2022 01:30,26595,26595
12.01.2022 01:30 - 12.01.2022 02:00,26067,26067
12.01.2022 02:00 - 12.01.2022 02:30,25616,25616
12.01.2022 02:30 - 12.01.2022 03:00,25323,25323
12.01.2022 03:00 - 12.01.2022 03:30,25016,25016
12.01.2022 03:30 - 12.01.2022 04:00,24698,24698
12.01.2022 04:00 - 12.01.2022 04:30,24510,24510
12.01.2022 04:30 - 12.01.2022 05:00,24571,24571
12.01.2022 05:00 - 12.01.2022 05:30,25452,25452
12.01.2022 05:30 - 12.01.2022 06:00,26588,26588
12.01.2022 06:00 - 12.01.2022 06:30,29478,29478
12.01.2022 06:30 - 12.01.2022 07:00,32150,32150
12.01.2022 07:00 - 12.01.2022 07:30,35314,35314
12.01.2022 07:30 - 12.01.2022 08:00,37063,37063
12.01.2022 08:00 - 12.01.2022 08:30,38469,38469
12.01.2022 08:30 - 12.01.2022 09:00,38878,38878
12.01.2022 09:00 - 12.01.2022 09:30,39411,39411
12.01.2022 09:30 - 12.01.2022 10:00,39086,39086
12.01.2022 10:00 - 12.01.2022 10:30,38544,38544
12.01.2022 10:30 - 12.01.2022 11:00,38002,38002
12.01.2022 11:00 - 12.01.2022 11:30,37499,37499
12.01.2022 11:30 - 12.01.2022 12:00,37005,37005
12.01.2022 12:00 - 12.01.2022 12:30,37071,37071
12.01.2022 12:30 - 12.01.2022 13:00,36775,36775
12.01.2022 13:00 - 12.01.2022 13:30,36806,36806
12.01.2022 13:30 - 12.01.2022 14:00,36622,36622
12.01.2022 14:00 - 12.01.2022 14:30,36964,36964
12.01.2022 14:30 - 12.01.2022 15:00,37259,37259
12.01.2022 15:00 - 12.01.2022 15:30,37820,37820
12.01.2022 15:30 - 12.01.2022 16:00,38963,38963
12.01.2022 16:00 - 12.01.2022 16:30,40041,40041
12.01.2022 16:30 - 12.01.2022 17:00,42082,42082
12.01.2022 17:00 - 12.01.2022 17:30,43742,43742
12.01.2022 17:30 - 12.01.2022 18:00,43718,43718
12.01.2022 18:00 - 12.01.2022 18:30,43113,43113
12.01.2022 18:30 - 12.01.2022 19:00,42752,42752
12.01.2022 19:00 - 12.01.2022 19:30,41958,41958
12.01.2022 19:30 - 12.01.2022 20:00,40883,40883
12.01.2022 20:00 - 12.01.2022 20:30,39459,39459
12.01.2022 20:30 - 12.01.2022 21:00,37906,37906
12.01.2022 21:00 - 12.01.2022 21:30,35968,35968
12.01.2022 21:30 - 12.01.2022 22:00,34119,34119
12.01.2022 22:00 - 12.01.2022 22:30,32031,32031
12.01.2022 22:30 - 12.01.2022 23:00,30280,30280
12.01.2022 23:00 - 12.01.2022 23:30,28275,28275
12.01.2022 23:30 - 13.01.2022 00:00,27128,27128
13.01.2022 00:00 - 13.01.2022 00:30,26831,26831
13.01.2022 00:30 - 13.01.2022 01:00,27451,27451
13.01.2022 01:00 - 13.01.2022 01:30,27133,27133
13.01.2022 01:30 - 13.01.2022 02:00,26543,26543
13.01.2022 02:00 - 13.01.2022 02:30,25981,25981
13.01.2022 02:30 - 13.01.2022 03:00,25702,25702
13.01.2022 03:00 - 13.01.2022 03:30,25311,25311
13.01.2022 03:30 - 13.01.2022 04:00,24942,24942
13.01.2022 04:00 - 13.01.2022 04:30,24902,24902
13.01.2022 04:30 - 13.01.2022 05:00,24947,24947
13.01.2022 05:00 - 13.01.2022 05:30,25624,25624
13.01.2022 05:30 - 13.01.2022 06:00,26828,26828
13.01.2022 06:00 - 13.01.2022 06:30,29664,29664
13.01.2022 06:30 - 13.01.2022 07:00,32584,32584
13.01.2022 07:00 - 13.01.2022 07:30,36011,36011
13.01.2022 07:30 - 13.01.2022 08:00,38223,38223
13.01.2022 08:00 - 13.01.2022 08:30,39400,39400
13.01.2022 08:30 - 13.01.2022 09:00,39605,39605
13.01.2022 09:00 - 13.01.2022 09:30,40194,40194
13.01.2022 09:30 - 13.01.2022 10:00,39577,39577
13.01.2022 10:00 - 13.01.2022 10:30,39334,39334
13.01.2022 10:30 - 13.01.2022 11:00,38809,38809
13.01.2022 11:00 - 13.01.2022 11:30,38278,38278
13.01.2022 11:30 - 13.01.2022 12:00,37720,37720
13.01.2022 12:00 - 13.01.2022 12:30,37724,37724
13.01.2022 12:30 - 13.01.2022 13:00,37442,37442
13.01.2022 13:00 - 13.01.2022 13:30,37386,37386
13.01.2022 13:30 - 13.01.2022 14:00,37105,37105
13.01.2022 14:00 - 13.01.2022 14:30,37366,37366
13.01.2022 14:30 - 13.01.2022 15:00,37795,37795
13.01.2022 15:00 - 13.01.2022 15:30,38503,38503
13.01.2022 15:30 - 13.01.2022 16:00,39605,39605
13.01.2022 16:00 - 13.01.2022 16:30,41225,41225
13.01.2022 16:30 - 13.01.2022 17:00,42911,42911
13.01.2022 17:00 - 13.01.2022 17:30,44276,44276
13.01.2022 17:30 - 13.01.2022 18:00,44224,44224
13.01.2022 18:00 - 13.01.2022 18:30,43565,43565
13.01.2022 18:30 - 13.01.2022 19:00,43042,43042
13.01.2022 19:00 - 13.01.2022 19:30,42556,42556
13.01.2022 19:30 - 13.01.2022 20:00,41434,41434
13.01.2022 20:00 - 13.01.2022 20:30,39894,39894
13.01.2022 20:30 - 13.01.2022 21:00,38576,38576
13.01.2022 21:00 - 13.01.2022 21:30,36713,36713
13.01.2022 21:30 - 13.01.2022 22:00,34625,34625
13.01.2022 22:00 - 13.01.2022 22:30,32586,32586
13.01.2022 22:30 - 13.01.2022 23:00,30664,30664
13.01.2022 23:00 - 13.01.2022 23:30,28586,28586
13.01.2022 23:30 - 14.01.2022 00:00,27482,27482
14.01.2022 00:00 - 14.01.2022 00:30,27200,27200
14.01.2022 00:30 - 14.01.2022 01:00,27796,27796
14.01.2022 01:00 - 14.01.2022 01:30,27688,27688
14.01.2022 01:30 - 14.01.2022 02:00,27155,27155
14.01.2022 02:00 - 14.01.2022 02:30,26673,26673
14.01.2022 02:30 - 14.01.2022 03:00,26392,26392
14.01.2022 03:00 - 14.01.2022 03:30,26043,26043
14.01.2022 03:30 - 14.01.2022 04:00,25691,25691
14.01.2022 04:00 - 14.01.2022 04:30,25733,25733
14.01.2022 04:30 - 14.01.2022 05:00,25848,25848
14.01.2022 05:00 - 14.01.2022 05:30,26711,26711
14.01.2022 05:30 - 14.01.2022 06:00,27964,27964
14.01.2022 06:00 - 14.01.2022 06:30,30576,30576
14.01.2022 06:30 - 14.01.2022 07:00,33286,33286
14.01.2022 07:00 - 14.01.2022 07:30,36609,36609
14.01.2022 07:30 - 14.01.2022 08:00,38336,38336
14.01.2022 08:00 - 14.01.2022 08:30,40427,40427
14.01.2022 08:30 - 14.01.2022 09:00,40854,40854
14.01.2022 09:00 - 14.01.2022 09:30,41257,41257
14.01.2022 09:30 - 14.01.2022 10:00,41182,41182
14.01.2022 10:00 - 14.01.2022 10:30,40714,40714
14.01.2022 10:30 - 14.01.2022 11:00,40209,40209
14.01.2022 11:00 - 14.01.2022 11:30,39631,39631
14.01.2022 11:30 - 14.01.2022 12:00,39147,39147
14.01.2022 12:00 - 14.01.2022 12:30,38981,38981
14.01.2022 12:30 - 14.01.2022 13:00,38556,38556
14.01.2022 13:00 - 14.01.2022 13:30,38065,38065
14.01.2022 13:30 - 14.01.2022 14:00,37746,37746
14.01.2022 14:00 - 14.01.2022 14:30,37810,37810
14.01.2022 14:30 - 14.01.2022 15:00,38147,38147
14.01.2022 15:00 - 14.01.2022 15:30,38469,38469
14.01.2022 15:30 - 14.01.2022 16:00,39623,39623
14.01.2022 16:00 - 14.01.2022 16:30,40611,40611
14.01.2022 16:30 - 14.01.2022 17:00,41460,41460
14.01.2022 17:00 - 14.01.2022 17:30,42207,42207
14.01.2022 17:30 - 14.01.2022 18:00,42321,42321
14.01.2022 18:00 - 14.01.2022 18:30,42320,42320
14.01.2022 18:30 - 14.01.2022 19:00,42044,42044
14.01.2022 19:00 - 14.01.2022 19:30,40488,40488
14.01.2022 19:30 - 14.01.2022 20:00,39806,39806
14.01.2022 20:00 - 14.01.2022 20:30,38812,38812
14.01.2022 20:30 - 14.01.2022 21:00,37366,37366
14.01.2022 21:00 - 14.01.2022 21:30,36137,36137
14.01.2022 21:30 - 14.01.2022 22:00,34507,34507
14.01.2022 22:00 - 14.01.2022 22:30,32564,32564
14.01.2022 22:30 - 14.01.2022 23:00,31119,31119
14.01.2022 23:00 - 14.01.2022 23:30,29373,29373
14.01.2022 23:30 - 15.01.2022 00:00,28200,28200
15.01.2022 00:00 - 15.01.2022 00:30,28014,28014
15.01.2022 00:30 - 15.01.2022 01:00,28442,28442
15.01.2022 01:00 - 15.01.2022 01:30,27983,27983
15.01.2022 01:30 - 15.01.2022 02:00,27102,27102
15.01.2022 02:00 - 15.01.2022 02:30,26590,26590
15.01.2022 02:30 - 15.01.2022 03:00,26276,26276
15.01.2022 03:00 - 15.01.2022 03:30,25759,25759
15.01.2022 03:30 - 15.01.2022 04:00,25363,25363
15.01.2022 04:00 - 15.01.2022 04:30,25031,25031
15.01.2022 04:30 - 15.01.2022 05:00,24894,24894
15.01.2022 05:00 - 15.01.2022 05:30,25047,25047
15.01.2022 05:30 - 15.01.2022 06:00,25523,25523
15.01.2022 06:00 - 15.01.2022 06:30,26910,26910
15.01.2022 06:30 - 15.01.2022 07:00,28169,28169
15.01.2022 07:00 - 15.01.2022 07:30,29573,29573
15.01.2022 07:30 - 15.01.2022 08:00,30554,30554
15.01.2022 08:00 - 15.01.2022 08:30,32617,32617
15.01.2022 08:30 - 15.01.2022 09:00,34032,34032
15.01.2022 09:00 - 15.01.2022 09:30,35539,35539
15.01.2022 09:30 - 15.01.2022 10:00,36046,36046
15.01.2022 10:00 - 15.01.2022 10:30,36508,36508
15.01.2022 10:30 - 15.01.2022 11:00,36768,36768
15.01.2022 11:00 - 15.01.2022 11:30,36851,36851
15.01.2022 11:30 - 15.01.2022 12:00,37120,37120
15.01.2022 12:00 - 15.01.2022 12:30,37397,37397
15.01.2022 12:30 - 15.01.2022 13:00,37302,37302
15.01.2022 13:00 - 15.01.2022 13:30,37111,37111
15.01.2022 13:30 - 15.01.2022 14:00,36807,36807
15.01.2022 14:00 - 15.01.2022 14:30,36885,36885
15.01.2022 14:30 - 15.01.2022 15:00,36887,36887
15.01.2022 15:00 - 15.01.2022 15:30,36536,36536
15.01.2022 15:30 - 15.01.2022 16:00,36809,36809
15.01.2022 16:00 - 15.01.2022 16:30,37906,37906
15.01.2022 16:30 - 15.01.2022 17:00,39790,39790
15.01.2022 17:00 - 15.01.2022 17:30,41017,41017
15.01.2022 17:30 - 15.01.2022 18:00,41123,41123
15.01.2022 18:00 - 15.01.2022 18:30,40471,40471
15.01.2022 18:30 - 15.01.2022 19:00,40011,40011
15.01.2022 19:00 - 15.01.2022 19:30,38767,38767
15.01.2022 19:30 - 15.01.2022 20:00,37651,37651
15.01.2022 20:00 - 15.01.2022 20:30,36145,36145
15.01.2022 20:30 - 15.01.2022 21:00,34587,34587
15.01.2022 21:00 - 15.01.2022 21:30,33357,33357
15.01.2022 21:30 - 15.01.2022 22:00,32439,32439
15.01.2022 22:00 - 15.01.2022 22:30,30952,30952
15.01.2022 22:30 - 15.01.2022 23:00,29654,29654
15.01.2022 23:00 - 15.01.2022 23:30,27998,27998
15.01.2022 23:30 - 16.01.2022 00:00,26891,26891
16.01.2022 00:00 - 16.01.2022 00:30,26551,26551
16.01.2022 00:30 - 16.01.2022 01:00,27159,27159
16.01.2022 01:00 - 16.01.2022 01:30,26562,26562
16.01.2022 01:30 - 16.01.2022 02:00,25874,25874
16.01.2022 02:00 - 16.01.2022 02:30,25155,25155
16.01.2022 02:30 - 16.01.2022 03:00,24645,24645
16.01.2022 03:00 - 16.01.2022 03:30,24099,24099
16.01.2022 03:30 - 16.01.2022 04:00,23526,23526
16.01.2022 04:00 - 16.01.2022 04:30,23178,23178
16.01.2022 04:30 - 16.01.2022 05:00,22973,22973
16.01.2022 05:00 - 16.01.2022 05:30,22952,22952
16.01.2022 05:30 - 16.01.2022 06:00,23239,23239
16.01.2022 06:00 - 16.01.2022 06:30,23963,23963
16.01.2022 06:30 - 16.01.2022 07:00,24811,24811
16.01.2022 07:00 - 16.01.2022 07:30,25903,25903
16.01.2022 07:30 - 16.01.2022 08:00,26827,26827
16.01.2022 08:00 - 16.01.2022 08:30,28415,28415
16.01.2022 08:30 - 16.01.2022 09:00,29838,29838
16.01.2022 09:00 - 16.01.2022 09:30,31050,31050
16.01.2022 09:30 - 16.01.2022 10:00,31990,31990
16.01.2022 10:00 - 16.01.2022 10:30,32924,32924
16.01.2022 10:30 - 16.01.2022 11:00,33661,33661
16.01.2022 11:00 - 16.01.2022 11:30,33580,33580
16.01.2022 11:30 - 16.01.2022 12:00,33622,33622
16.01.2022 12:00 - 16.01.2022 12:30,34026,34026
16.01.2022 12:30 - 16.01.2022 13:00,34451,34451
16.01.2022 13:00 - 16.01.2022 13:30,34540,34540
16.01.2022 13:30 - 16.01.2022 14:00,34548,34548
16.01.2022 14:00 - 16.01.2022 14:30,34945,34945
16.01.2022 14:30 - 16.01.2022 15:00,35281,35281
16.01.2022 15:00 - 16.01.2022 15:30,35716,35716
16.01.2022 15:30 - 16.01.2022 16:00,36625,36625
16.01.2022 16:00 - 16.01.2022 16:30,38065,38065
16.01.2022 16:30 - 16.01.2022 17:00,40035,40035
16.01.2022 17:00 - 16.01.2022 17:30,41004,41004
16.01.2022 17:30 - 16.01.2022 18:00,41094,41094
16.01.2022 18:00 - 16.01.2022 18:30,40594,40594
16.01.2022 18:30 - 16.01.2022 19:00,39465,39465
16.01.2022 19:00 - 16.01.2022 19:30,38045,38045
16.01.2022 19:30 - 16.01.2022 20:00,36805,36805
16.01.2022 20:00 - 16.01.2022 20:30,35395,35395
16.01.2022 20:30 - 16.01.2022 21:00,34041,34041
16.01.2022 21:00 - 16.01.2022 21:30,32404,32404
16.01.2022 21:30 - 16.01.2022 22:00,30884,30884
16.01.2022 22:00 - 16.01.2022 22:30,29316,29316
16.01.2022 22:30 - 16.01.2022 23:00,27619,27619
16.01.2022 23:00 - 16.01.2022 23:30,25987,25987
16.01.2022 23:30 - 17.01.2022 00:00,24685,24685
17.01.2022 00:00 - 17.01.2022 00:30,24519,24519
17.01.2022 00:30 - 17.01.2022 01:00,25170,25170
17.01.2022 01:00 - 17.01.2022 01:30,25013,25013
17.01.2022 01:30 - 17.01.2022 02:00,24372,24372
17.01.2022 02:00 - 17.01.2022 02:30,24298,24298
17.01.2022 02:30 - 17.01.2022 03:00,24185,24185
17.01.2022 03:00 - 17.01.2022 03:30,23864,23864
17.01.2022 03:30 - 17.01.2022 04:00,23590,23590
17.01.2022 04:00 - 17.01.2022 04:30,23623,23623
17.01.2022 04:30 - 17.01.2022 05:00,23774,23774
17.01.2022 05:00 - 17.01.2022 05:30,24627,24627
17.01.2022 05:30 - 17.01.2022 06:00,26014,26014
17.01.2022 06:00 - 17.01.2022 06:30,29184,29184
17.01.2022 06:30 - 17.01.2022 07:00,32432,32432
17.01.2022 07:00 - 17.01.2022 07:30,35946,35946
17.01.2022 07:30 - 17.01.2022 08:00,37784,37784
17.01.2022 08:00 - 17.01.2022 08:30,39500,39500
17.01.2022 08:30 - 17.01.2022 09:00,40170,40170
17.01.2022 09:00 - 17.01.2022 09:30,40496,40496
17.01.2022 09:30 - 17.01.2022 10:00,40414,40414
17.01.2022 10:00 - 17.01.2022 10:30,40040,40040
17.01.2022 10:30 - 17.01.2022 11:00,39366,39366
17.01.2022 11:00 - 17.01.2022 11:30,38567,38567
17.01.2022 11:30 - 17.01.2022 12:00,37950,37950
17.01.2022 12:00 - 17.01.2022 12:30,38057,38057
17.01.2022 12:30 - 17.01.2022 13:00,38009,38009
17.01.2022 13:00 - 17.01.2022 13:30,38074,38074
17.01.2022 13:30 - 17.01.2022 14:00,37882,37882
17.01.2022 14:00 - 17.01.2022 14:30,38089,38089
17.01.2022 14:30 - 17.01.2022 15:00,38118,38118
17.01.2022 15:00 - 17.01.2022 15:30,39198,39198
17.01.2022 15:30 - 17.01.2022 16:00,40680,40680
17.01.2022 16:00 - 17.01.2022 16:30,41865,41865
17.01.2022 16:30 - 17.01.2022 17:00,42929,42929
17.01.2022 17:00 - 17.01.2022 17:30,44055,44055
17.01.2022 17:30 - 17.01.2022 18:00,44085,44085
17.01.2022 18:00 - 17.01.2022 18:30,43655,43655
17.01.2022 18:30 - 17.01.2022 19:00,43654,43654
17.01.2022 19:00 - 17.01.2022 19:30,43157,43157
17.01.2022 19:30 - 17.01.2022 20:00,41945,41945
17.01.2022 20:00 - 17.01.2022 20:30,40338,40338
17.01.2022 20:30 - 17.01.2022 21:00,38842,38842
17.01.2022 21:00 - 17.01.2022 21:30,37202,37202
17.01.2022 21:30 - 17.01.2022 22:00,35257,35257
17.01.2022 22:00 - 17.01.2022 22:30,32877,32877
17.01.2022 22:30 - 17.01.2022 23:00,30989,30989
17.01.2022 23:00 - 17.01.2022 23:30,29044,29044
17.01.2022 23:30 - 18.01.2022 00:00,27995,27995
18.01.2022 00:00 - 18.01.2022 00:30,27703,27703
18.01.2022 00:30 - 18.01.2022 01:00,28343,28343
18.01.2022 01:00 - 18.01.2022 01:30,28124,28124
18.01.2022 01:30 - 18.01.2022 02:00,27601,27601
18.01.2022 02:00 - 18.01.2022 02:30,27160,27160
18.01.2022 02:30 - 18.01.2022 03:00,27099,27099
18.01.2022 03:00 - 18.01.2022 03:30,26709,26709
18.01.2022 03:30 - 18.01.2022 04:00,26479,26479
18.01.2022 04:00 - 18.01.2022 04:30,26391,26391
18.01.2022 04:30 - 18.01.2022 05:00,26636,26636
18.01.2022 05:00 - 18.01.2022 05:30,27233,27233
18.01.2022 05:30 - 18.01.2022 06:00,28415,28415
18.01.2022 06:00 - 18.01.2022 06:30,31030,31030
18.01.2022 06:30 - 18.01.2022 07:00,33735,33735
18.01.2022 07:00 - 18.01.2022 07:30,36992,36992
18.01.2022 07:30 - 18.01.2022 08:00,38986,38986
18.01.2022 08:00 - 18.01.2022 08:30,40630,40630
18.01.2022 08:30 - 18.01.2022 09:00,41228,41228
18.01.2022 09:00 - 18.01.2022 09:30,41759,41759
18.01.2022 09:30 - 18.01.2022 10:00,41545,41545
18.01.2022 10:00 - 18.01.2022 10:30,41314,41314
18.01.2022 10:30 - 18.01.2022 11:00,40657,40657
18.01.2022 11:00 - 18.01.2022 11:30,40429,40429
18.01.2022 11:30 - 18.01.2022 12:00,40256,40256
18.01.2022 12:00 - 18.01.2022 12:30,39991,39991
18.01.2022 12:30 - 18.01.2022 13:00,39658,39658
18.01.2022 13:00 - 18.01.2022 13:30,39860,39860
18.01.2022 13:30 - 18.01.2022 14:00,39781,39781
18.01.2022 14:00 - 18.01.2022 14:30,39627,39627
18.01.2022 14:30 - 18.01.2022 15:00,39798,39798
18.01.2022 15:00 - 18.01.2022 15:30,40093,40093
18.01.2022 15:30 - 18.01.2022 16:00,40847,40847
18.01.2022 16:00 - 18.01.2022 16:30,41852,41852
18.01.2022 16:30 - 18.01.2022 17:00,43258,43258
18.01.2022 17:00 - 18.01.2022 17:30,43944,43944
18.01.2022 17:30 - 18.01.2022 18:00,43701,43701
18.01.2022 18:00 - 18.01.2022 18:30,43251,43251
18.01.2022 18:30 - 18.01.2022 19:00,42631,42631
18.01.2022 19:00 - 18.01.2022 19:30,41818,41818
18.01.2022 19:30 - 18.01.2022 20:00,40786,40786
18.01.2022 20:00 - 18.01.2022 20:30,39239,39239
18.01.2022 20:30 - 18.01.2022 21:00,37588,37588
18.01.2022 21:00 - 18.01.2022 21:30,35793,35793
18.01.2022 21:30 - 18.01.2022 22:00,33721,33721
18.01.2022 22:00 - 18.01.2022 22:30,31278,31278
18.01.2022 22:30 - 18.01.2022 23:00,29219,29219
18.01.2022 23:00 - 18.01.2022 23:30,27400,27400
18.01.2022 23:30 - 19.01.2022 00:00,26106,26106
19.01.2022 00:00 - 19.01.2022 00:30,25961,25961
19.01.2022 00:30 - 19.01.2022 01:00,26249,26249
19.01.2022 01:00 - 19.01.2022 01:30,25965,25965
19.01.2022 01:30 - 19.01.2022 02:00,25171,25171
19.01.2022 02:00 - 19.01.2022 02:30,24680,24680
19.01.2022 02:30 - 19.01.2022 03:00,24316,24316
19.01.2022 03:00 - 19.01.2022 03:30,23880,23880
19.01.2022 03:30 - 19.01.2022 04:00,23340,23340
19.01.2022 04:00 - 19.01.2022 04:30,23129,23129
19.01.2022 04:30 - 19.01.2022 05:00,23146,23146
19.01.2022 05:00 - 19.01.2022 05:30,23765,23765
19.01.2022 05:30 - 19.01.2022 06:00,25116,25116
19.01.2022 06:00 - 19.01.2022 06:30,27802,27802
19.01.2022 06:30 - 19.01.2022 07:00,30672,30672
19.01.2022 07:00 - 19.01.2022 07:30,33543,33543
19.01.2022 07:30 - 19.01.2022 08:00,35674,35674
19.01.2022 08:00 - 19.01.2022 08:30,37494,37494
19.01.2022 08:30 - 19.01.2022 09:00,37889,37889
19.01.2022 09:00 - 19.01.2022 09:30,38508,38508
19.01.2022 09:30 - 19.01.2022 10:00,38398,38398
19.01.2022 10:00 - 19.01.2022 10:30,38241,38241
19.01.2022 10:30 - 19.01.2022 11:00,37750,37750
19.01.2022 11:00 - 19.01.2022 11:30,37372,37372
19.01.2022 11:30 - 19.01.2022 12:00,36891,36891
19.01.2022 12:00 - 19.01.2022 12:30,36747,36747
19.01.2022 12:30 - 19.01.2022 13:00,36438,36438
19.01.2022 13:00 - 19.01.2022 13:30,36600,36600
19.01.2022 13:30 - 19.01.2022 14:00,36511,36511
19.01.2022 14:00 - 19.01.2022 14:30,36491,36491
19.01.2022 14:30 - 19.01.2022 15:00,36802,36802
19.01.2022 15:00 - 19.01.2022 15:30,37369,37369
19.01.2022 15:30 - 19.01.2022 16:00,38635,38635
19.01.2022 16:00 - 19.01.2022 16:30,39793,39793
19.01.2022 16:30 - 19.01.2022 17:00,41312,41312
19.01.2022 17:00 - 19.01.2022 17:30,42779,42779
19.01.2022 17:30 - 19.01.2022 18:00,43091,43091
19.01.2022 18:00 - 19.01.2022 18:30,42580,42580
19.01.2022 18:30 - 19.01.2022 19:00,42137,42137
19.01.2022 19:00 - 19.01.2022 19:30,40968,40968
19.01.2022 19:30 - 19.01.2022 20:00,39683,39683
19.01.2022 20:00 - 19.01.2022 20:30,38668,38668
19.01.2022 20:30 - 19.01.2022 21:00,37306,37306
19.01.2022 21:00 - 19.01.2022 21:30,35728,35728
19.01.2022 21:30 - 19.01.2022 22:00,33843,33843
19.01.2022 22:00 - 19.01.2022 22:30,31674,31674
19.01.2022 22:30 - 19.01.2022 23:00,29828,29828
19.01.2022 23:00 - 19.01.2022 23:30,27747,27747
19.01.2022 23:30 - 20.01.2022 00:00,26583,26583
20.01.2022 00:00 - 20.01.2022 00:30,26356,26356
20.01.2022 00:30 - 20.01.2022 01:00,26874,26874
20.01.2022 01:00 - 20.01.2022 01:30,26708,26708
20.01.2022 01:30 - 20.01.2022 02:00,26205,26205
20.01.2022 02:00 - 20.01.2022 02:30,25743,25743
20.01.2022 02:30 - 20.01.2022 03:00,25553,25553
