Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
09.01.2022 18:30 - 09.01.2022 19:00,40165,40165
09.01.2022 19:00 - 09.01.2022 19:30,39144,39144
09.01.2022 19:30 - 09.01.2022 20:00,38025,38025
09.01.2022 20:00 - 09.01.2022 20:30,36919,36919
09.01.2022 20:30 - 09.01.2022 21:00,35518,35518
09.01.2022 21:00 - 09.01.2022 21:30,34428,34428
09.01.2022 21:30 - 09.01.2022 22:00,33008,33008
09.01.2022 22:00 - 09.01.2022 22:30,31468,31468
09.01.2022 22:30 - 09.01.2022 23:00,29638,29638
09.01.2022 23:00 - 09.01.2022 23:30,27941,27941
09.01.2022 23:30 - 10.01.2022 00:00,26844,26844
10.01.2022 00:00 - 10.01.2022 00:30,26789,26789
10.01.2022 00:30 - 10.01.2022 01:00,27497,27497
10.01.2022 01:00 - 10.01.2022 01:30,27261,27261
10.01.2022 01:30 - 10.01.2022 02:00,26844,26844
10.01.2022 02:00 - 10.01.2022 02:30,26449,26449
10.01.2022 02:30 - 10.01.2022 03:00,26155,26155
10.01.2022 03:00 - 10.01.2022 03:30,25872,25872
10.01.2022 03:30 - 10.01.2022 04:00,25503,25503
10.01.2022 04:00 - 10.01.2022 04:30,25350,25350
10.01.2022 04:30 - 10.01.2022 05:00,25411,25411
10.01.2022 05:00 - 10.01.2022 05:30,26029,26029
10.01.2022 05:30 - 10.01.2022 06:00,27103,27103
10.01.2022 06:00 - 10.01.2022 06:30,30019,30019
10.01.2022 06:30 - 10.01.2022 07:00,32697,32697
10.01.2022 07:00 - 10.01.2022 07:30,35757,35757
10.01.2022 07:30 - 10.01.2022 08:00,37712,37712
10.01.2022 08:00 - 10.01.2022 08:30,39301,39301
10.01.2022 08:30 - 10.01.2022 09:00,39711,39711
10.01.2022 09:00 - 10.01.2022 09:30,40967,40967
10.01.2022 09:30 - 10.01.2022 10:00,41191,41191
10.01.2022 10:00 - 10.01.2022 10:30,41237,41237
10.01.2022 10:30 - 10.01.2022 11:00,41531,41531
