"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Intraday / Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Intraday / Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Intraday / Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"06.01.2022 09:00 - 06.01.2022 10:00","1205","1205","n/e","n/e","n/e","n/e","1806","1806","n/e"
"06.01.2022 10:00 - 06.01.2022 11:00","1495","1495","n/e","n/e","n/e","n/e","1812","1812","n/e"
"06.01.2022 11:00 - 06.01.2022 12:00","1607","1607","n/e","n/e","n/e","n/e","1857","1857","n/e"
"06.01.2022 12:00 - 06.01.2022 13:00","1536","1577","n/e","n/e","n/e","n/e","1892","1992","n/e"
"06.01.2022 13:00 - 06.01.2022 14:00","1271","1307","n/e","n/e","n/e","n/e","1882","1999","n/e"
"06.01.2022 14:00 - 06.01.2022 15:00","821","845","n/e","n/e","n/e","n/e","1822","1927","n/e"
"06.01.2022 15:00 - 06.01.2022 16:00","286","290","n/e","n/e","n/e","n/e","1749","1806","n/e"
"06.01.2022 16:00 - 06.01.2022 17:00","13","12","n/e","n/e","n/e","n/e","1690","1708","n/e"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","1633","1652","n/e"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","1576","1617","n/e"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","1524","1592","n/e"
"06.01.2022 20:00 - 06.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","1486","1563","n/e"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","1458","1522","n/e"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","1430","1482","n/e"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","1419","1419","n/e"
"07.01.2022 00:00 - 07.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","1268","1268","n/e"
"07.01.2022 01:00 - 07.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","1134","1134","n/e"
"07.01.2022 02:00 - 07.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","973","973","n/e"
"07.01.2022 03:00 - 07.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","818","818","n/e"
"07.01.2022 04:00 - 07.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","693","693","n/e"
"07.01.2022 05:00 - 07.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","611","611","n/e"
"07.01.2022 06:00 - 07.01.2022 07:00","4","4","n/e","n/e","n/e","n/e","562","562","n/e"
