"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"08.01.2022 18:00 - 08.01.2022 19:00","0","n/e","n/e","1016","n/e","n/e","922","n/e","n/e"
"08.01.2022 19:00 - 08.01.2022 20:00","0","n/e","n/e","1023","n/e","n/e","1049","n/e","n/e"
"08.01.2022 20:00 - 08.01.2022 21:00","0","n/e","n/e","1059","n/e","n/e","1195","n/e","n/e"
"08.01.2022 21:00 - 08.01.2022 22:00","0","n/e","n/e","1103","n/e","n/e","1328","n/e","n/e"
"08.01.2022 22:00 - 08.01.2022 23:00","0","n/e","n/e","1131","n/e","n/e","1486","n/e","n/e"
"08.01.2022 23:00 - 09.01.2022 00:00","0","n/e","n/e","1191","n/e","n/e","1594","n/e","n/e"
"09.01.2022 00:00 - 09.01.2022 01:00","0","n/e","n/e","1313","n/e","n/e","2086","n/e","n/e"
"09.01.2022 01:00 - 09.01.2022 02:00","0","n/e","n/e","1364","n/e","n/e","2128","n/e","n/e"
"09.01.2022 02:00 - 09.01.2022 03:00","0","n/e","n/e","1407","n/e","n/e","2175","n/e","n/e"
"09.01.2022 03:00 - 09.01.2022 04:00","0","n/e","n/e","1396","n/e","n/e","2172","n/e","n/e"
"09.01.2022 04:00 - 09.01.2022 05:00","0","n/e","n/e","1359","n/e","n/e","2163","n/e","n/e"
"09.01.2022 05:00 - 09.01.2022 06:00","0","n/e","n/e","1312","n/e","n/e","2095","n/e","n/e"
"09.01.2022 06:00 - 09.01.2022 07:00","0","n/e","n/e","1280","n/e","n/e","2062","n/e","n/e"
"09.01.2022 07:00 - 09.01.2022 08:00","0","n/e","n/e","1246","n/e","n/e","2001","n/e","n/e"
"09.01.2022 08:00 - 09.01.2022 09:00","0","n/e","n/e","1115","n/e","n/e","1911","n/e","n/e"
"09.01.2022 09:00 - 09.01.2022 10:00","6","n/e","n/e","900","n/e","n/e","1723","n/e","n/e"
"09.01.2022 10:00 - 09.01.2022 11:00","21","n/e","n/e","792","n/e","n/e","1476","n/e","n/e"
"09.01.2022 11:00 - 09.01.2022 12:00","36","n/e","n/e","737","n/e","n/e","1393","n/e","n/e"
"09.01.2022 12:00 - 09.01.2022 13:00","45","n/e","n/e","709","n/e","n/e","1334","n/e","n/e"
