"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"07.09.2022 13:30 - 07.09.2022 13:45","10474","10021"
"07.09.2022 13:45 - 07.09.2022 14:00","10415","10009"
"07.09.2022 14:00 - 07.09.2022 14:15","10356","10105"
"07.09.2022 14:15 - 07.09.2022 14:30","10338","10049"
"07.09.2022 14:30 - 07.09.2022 14:45","10348","9933"
"07.09.2022 14:45 - 07.09.2022 15:00","10304","9992"
"07.09.2022 15:00 - 07.09.2022 15:15","10365","10026"
"07.09.2022 15:15 - 07.09.2022 15:30","10301","9923"
"07.09.2022 15:30 - 07.09.2022 15:45","10298","9783"
"07.09.2022 15:45 - 07.09.2022 16:00","10290","9855"
"07.09.2022 16:00 - 07.09.2022 16:15","10320","9970"
"07.09.2022 16:15 - 07.09.2022 16:30","10303","9954"
"07.09.2022 16:30 - 07.09.2022 16:45","10323","9940"
"07.09.2022 16:45 - 07.09.2022 17:00","10327","10027"
"07.09.2022 17:00 - 07.09.2022 17:15","10444","9985"
"07.09.2022 17:15 - 07.09.2022 17:30","10452","9974"
"07.09.2022 17:30 - 07.09.2022 17:45","10465","10173"
"07.09.2022 17:45 - 07.09.2022 18:00","10478","10197"
"07.09.2022 18:00 - 07.09.2022 18:15","10387","10140"
"07.09.2022 18:15 - 07.09.2022 18:30","10378","10078"
"07.09.2022 18:30 - 07.09.2022 18:45","10322","9985"
"07.09.2022 18:45 - 07.09.2022 19:00","10236","9923"
"07.09.2022 19:00 - 07.09.2022 19:15","10242","9817"
"07.09.2022 19:15 - 07.09.2022 19:30","10106","9811"
"07.09.2022 19:30 - 07.09.2022 19:45","10034","9758"
"07.09.2022 19:45 - 07.09.2022 20:00","9940","9688"
"07.09.2022 20:00 - 07.09.2022 20:15","9949","9585"
"07.09.2022 20:15 - 07.09.2022 20:30","9870","9609"
"07.09.2022 20:30 - 07.09.2022 20:45","9841","9704"
"07.09.2022 20:45 - 07.09.2022 21:00","9851","9557"
"07.09.2022 21:00 - 07.09.2022 21:15","9726","9440"
"07.09.2022 21:15 - 07.09.2022 21:30","9688","9307"
"07.09.2022 21:30 - 07.09.2022 21:45","9614","9264"
"07.09.2022 21:45 - 07.09.2022 22:00","9511","9161"
"07.09.2022 22:00 - 07.09.2022 22:15","9430","9128"
"07.09.2022 22:15 - 07.09.2022 22:30","9346","9023"
"07.09.2022 22:30 - 07.09.2022 22:45","9331","9002"
"07.09.2022 22:45 - 07.09.2022 23:00","9204","8817"
"07.09.2022 23:00 - 07.09.2022 23:15","9061","8850"
"07.09.2022 23:15 - 07.09.2022 23:30","8968","8650"
"07.09.2022 23:30 - 07.09.2022 23:45","8829","8670"
"07.09.2022 23:45 - 08.09.2022 00:00","8687","8472"
"08.09.2022 00:00 - 08.09.2022 00:15","8435","8329"
"08.09.2022 00:15 - 08.09.2022 00:30","8294","8183"
"08.09.2022 00:30 - 08.09.2022 00:45","8203","8128"
"08.09.2022 00:45 - 08.09.2022 01:00","8171","8028"
"08.09.2022 01:00 - 08.09.2022 01:15","8159","8033"
"08.09.2022 01:15 - 08.09.2022 01:30","8068","7799"
"08.09.2022 01:30 - 08.09.2022 01:45","7944","7653"
"08.09.2022 01:45 - 08.09.2022 02:00","7907","7863"
"08.09.2022 02:00 - 08.09.2022 02:15","7848","7710"
"08.09.2022 02:15 - 08.09.2022 02:30","7808","7736"
"08.09.2022 02:30 - 08.09.2022 02:45","7769","7814"
"08.09.2022 02:45 - 08.09.2022 03:00","7786","7646"
"08.09.2022 03:00 - 08.09.2022 03:15","7693","7791"
"08.09.2022 03:15 - 08.09.2022 03:30","7690","7878"
"08.09.2022 03:30 - 08.09.2022 03:45","7674","7797"
"08.09.2022 03:45 - 08.09.2022 04:00","7682","7647"
"08.09.2022 04:00 - 08.09.2022 04:15","7622","7747"
"08.09.2022 04:15 - 08.09.2022 04:30","7653","7816"
"08.09.2022 04:30 - 08.09.2022 04:45","7683","7814"
"08.09.2022 04:45 - 08.09.2022 05:00","7720","7792"
"08.09.2022 05:00 - 08.09.2022 05:15","7863","7858"
"08.09.2022 05:15 - 08.09.2022 05:30","7953","8009"
"08.09.2022 05:30 - 08.09.2022 05:45","8064","8234"
"08.09.2022 05:45 - 08.09.2022 06:00","8177","8290"
"08.09.2022 06:00 - 08.09.2022 06:15","8517","8551"
"08.09.2022 06:15 - 08.09.2022 06:30","8686","8765"
"08.09.2022 06:30 - 08.09.2022 06:45","8826","8943"
"08.09.2022 06:45 - 08.09.2022 07:00","8944","9121"
"08.09.2022 07:00 - 08.09.2022 07:15","9162","9351"
"08.09.2022 07:15 - 08.09.2022 07:30","9354","9380"
"08.09.2022 07:30 - 08.09.2022 07:45","9490","9492"
"08.09.2022 07:45 - 08.09.2022 08:00","9605","9670"
"08.09.2022 08:00 - 08.09.2022 08:15","9740","9681"
"08.09.2022 08:15 - 08.09.2022 08:30","9866","9696"
"08.09.2022 08:30 - 08.09.2022 08:45","9980","9958"
"08.09.2022 08:45 - 08.09.2022 09:00","10038","9881"
"08.09.2022 09:00 - 08.09.2022 09:15","10154","9833"
"08.09.2022 09:15 - 08.09.2022 09:30","10224","9972"
"08.09.2022 09:30 - 08.09.2022 09:45","10334","10116"
"08.09.2022 09:45 - 08.09.2022 10:00","10398","10331"
"08.09.2022 10:00 - 08.09.2022 10:15","10360","10155"
"08.09.2022 10:15 - 08.09.2022 10:30","10337","10169"
"08.09.2022 10:30 - 08.09.2022 10:45","10397","10142"
"08.09.2022 10:45 - 08.09.2022 11:00","10460","10116"
"08.09.2022 11:00 - 08.09.2022 11:15","10500","10135"
"08.09.2022 11:15 - 08.09.2022 11:30","10529","10154"
"08.09.2022 11:30 - 08.09.2022 11:45","10568","10070"
"08.09.2022 11:45 - 08.09.2022 12:00","10599","10140"
"08.09.2022 12:00 - 08.09.2022 12:15","10461","9814"
"08.09.2022 12:15 - 08.09.2022 12:30","10342","9822"
"08.09.2022 12:30 - 08.09.2022 12:45","10331","9805"
"08.09.2022 12:45 - 08.09.2022 13:00","10343","10047"
"08.09.2022 13:00 - 08.09.2022 13:15","10321","9874"
"08.09.2022 13:15 - 08.09.2022 13:30","10296","9824"
"08.09.2022 13:30 - 08.09.2022 13:45","10290","9805"
"08.09.2022 13:45 - 08.09.2022 14:00","10244","9699"
"08.09.2022 14:00 - 08.09.2022 14:15","10179","9888"
"08.09.2022 14:15 - 08.09.2022 14:30","10156","9927"
"08.09.2022 14:30 - 08.09.2022 14:45","10164","9883"
"08.09.2022 14:45 - 08.09.2022 15:00","10127","9917"
"08.09.2022 15:00 - 08.09.2022 15:15","10156","9731"
"08.09.2022 15:15 - 08.09.2022 15:30","10102","9876"
"08.09.2022 15:30 - 08.09.2022 15:45","10095","9878"
"08.09.2022 15:45 - 08.09.2022 16:00","10103","9901"
"08.09.2022 16:00 - 08.09.2022 16:15","10086","9859"
"08.09.2022 16:15 - 08.09.2022 16:30","10069","9908"
"08.09.2022 16:30 - 08.09.2022 16:45","10088","9771"
"08.09.2022 16:45 - 08.09.2022 17:00","10095","9883"
"08.09.2022 17:00 - 08.09.2022 17:15","10163","9977"
"08.09.2022 17:15 - 08.09.2022 17:30","10179","9953"
"08.09.2022 17:30 - 08.09.2022 17:45","10198","9993"
"08.09.2022 17:45 - 08.09.2022 18:00","10215","10028"
"08.09.2022 18:00 - 08.09.2022 18:15","10225","10094"
"08.09.2022 18:15 - 08.09.2022 18:30","10231","10160"
"08.09.2022 18:30 - 08.09.2022 18:45","10180","10250"
"08.09.2022 18:45 - 08.09.2022 19:00","10093","10256"
"08.09.2022 19:00 - 08.09.2022 19:15","10088","10062"
"08.09.2022 19:15 - 08.09.2022 19:30","9960","10019"
"08.09.2022 19:30 - 08.09.2022 19:45","9890","10059"
"08.09.2022 19:45 - 08.09.2022 20:00","9798","9994"
"08.09.2022 20:00 - 08.09.2022 20:15","9854","9906"
"08.09.2022 20:15 - 08.09.2022 20:30","9789","10148"
"08.09.2022 20:30 - 08.09.2022 20:45","9792","9974"
"08.09.2022 20:45 - 08.09.2022 21:00","9787","9743"
"08.09.2022 21:00 - 08.09.2022 21:15","9634","9650"
"08.09.2022 21:15 - 08.09.2022 21:30","9564","9294"
"08.09.2022 21:30 - 08.09.2022 21:45","9517","9180"
"08.09.2022 21:45 - 08.09.2022 22:00","9403","9103"
"08.09.2022 22:00 - 08.09.2022 22:15","9279","9069"
"08.09.2022 22:15 - 08.09.2022 22:30","9197","9202"
"08.09.2022 22:30 - 08.09.2022 22:45","9189","8953"
"08.09.2022 22:45 - 08.09.2022 23:00","9054","8912"
"08.09.2022 23:00 - 08.09.2022 23:15","8962","8745"
"08.09.2022 23:15 - 08.09.2022 23:30","8878","8723"
"08.09.2022 23:30 - 08.09.2022 23:45","8768","8501"
"08.09.2022 23:45 - 09.09.2022 00:00","8620","8264"
"09.09.2022 00:00 - 09.09.2022 00:15","8458","8128"
"09.09.2022 00:15 - 09.09.2022 00:30","8314","8024"
"09.09.2022 00:30 - 09.09.2022 00:45","8225","8050"
"09.09.2022 00:45 - 09.09.2022 01:00","8186","8083"
"09.09.2022 01:00 - 09.09.2022 01:15","8159","7987"
"09.09.2022 01:15 - 09.09.2022 01:30","8050","7881"
"09.09.2022 01:30 - 09.09.2022 01:45","7923","7805"
"09.09.2022 01:45 - 09.09.2022 02:00","7913","7612"
"09.09.2022 02:00 - 09.09.2022 02:15","7826","7535"
"09.09.2022 02:15 - 09.09.2022 02:30","7785","7657"
"09.09.2022 02:30 - 09.09.2022 02:45","7752","7645"
"09.09.2022 02:45 - 09.09.2022 03:00","7753","7521"
"09.09.2022 03:00 - 09.09.2022 03:15","7754","7520"
"09.09.2022 03:15 - 09.09.2022 03:30","7754","7571"
"09.09.2022 03:30 - 09.09.2022 03:45","7735","7443"
"09.09.2022 03:45 - 09.09.2022 04:00","7731","7440"
"09.09.2022 04:00 - 09.09.2022 04:15","7750","7334"
"09.09.2022 04:15 - 09.09.2022 04:30","7788","7493"
"09.09.2022 04:30 - 09.09.2022 04:45","7816","7534"
"09.09.2022 04:45 - 09.09.2022 05:00","7857","7609"
"09.09.2022 05:00 - 09.09.2022 05:15","8023","7695"
"09.09.2022 05:15 - 09.09.2022 05:30","8109","7721"
"09.09.2022 05:30 - 09.09.2022 05:45","8206","7873"
"09.09.2022 05:45 - 09.09.2022 06:00","8313","8049"
"09.09.2022 06:00 - 09.09.2022 06:15","8682","8283"
"09.09.2022 06:15 - 09.09.2022 06:30","8873","8547"
"09.09.2022 06:30 - 09.09.2022 06:45","9028","8700"
"09.09.2022 06:45 - 09.09.2022 07:00","9151","8881"
"09.09.2022 07:00 - 09.09.2022 07:15","9383","9042"
"09.09.2022 07:15 - 09.09.2022 07:30","9567","9280"
"09.09.2022 07:30 - 09.09.2022 07:45","9701","9246"
"09.09.2022 07:45 - 09.09.2022 08:00","9820","9525"
"09.09.2022 08:00 - 09.09.2022 08:15","9935","9596"
"09.09.2022 08:15 - 09.09.2022 08:30","10043","9712"
"09.09.2022 08:30 - 09.09.2022 08:45","10162","9721"
"09.09.2022 08:45 - 09.09.2022 09:00","10231","10017"
"09.09.2022 09:00 - 09.09.2022 09:15","10266","10073"
"09.09.2022 09:15 - 09.09.2022 09:30","10333","10060"
"09.09.2022 09:30 - 09.09.2022 09:45","10450","10038"
"09.09.2022 09:45 - 09.09.2022 10:00","10518","9914"
"09.09.2022 10:00 - 09.09.2022 10:15","10483","10060"
"09.09.2022 10:15 - 09.09.2022 10:30","10468","10055"
"09.09.2022 10:30 - 09.09.2022 10:45","10541","9988"
"09.09.2022 10:45 - 09.09.2022 11:00","10609","9975"
"09.09.2022 11:00 - 09.09.2022 11:15","10588","10192"
"09.09.2022 11:15 - 09.09.2022 11:30","10596","10321"
"09.09.2022 11:30 - 09.09.2022 11:45","10647","10142"
"09.09.2022 11:45 - 09.09.2022 12:00","10698","10132"
"09.09.2022 12:00 - 09.09.2022 12:15","10422","10078"
"09.09.2022 12:15 - 09.09.2022 12:30","10293","9961"
"09.09.2022 12:30 - 09.09.2022 12:45","10277","9951"
"09.09.2022 12:45 - 09.09.2022 13:00","10299","9929"
"09.09.2022 13:00 - 09.09.2022 13:15","10220","10075"
"09.09.2022 13:15 - 09.09.2022 13:30","10186","9883"
"09.09.2022 13:30 - 09.09.2022 13:45","10183","9828"
"09.09.2022 13:45 - 09.09.2022 14:00","10146","9823"
"09.09.2022 14:00 - 09.09.2022 14:15","10100","9729"
"09.09.2022 14:15 - 09.09.2022 14:30","10072","9475"
"09.09.2022 14:30 - 09.09.2022 14:45","10065","9333"
"09.09.2022 14:45 - 09.09.2022 15:00","10040","9475"
"09.09.2022 15:00 - 09.09.2022 15:15","10000","9492"
"09.09.2022 15:15 - 09.09.2022 15:30","9940","9331"
"09.09.2022 15:30 - 09.09.2022 15:45","9916","9190"
"09.09.2022 15:45 - 09.09.2022 16:00","9932","9331"
"09.09.2022 16:00 - 09.09.2022 16:15","9935","9418"
"09.09.2022 16:15 - 09.09.2022 16:30","9916","9352"
"09.09.2022 16:30 - 09.09.2022 16:45","9932","9389"
"09.09.2022 16:45 - 09.09.2022 17:00","9947","9162"
"09.09.2022 17:00 - 09.09.2022 17:15","9994","9314"
"09.09.2022 17:15 - 09.09.2022 17:30","10007","9341"
"09.09.2022 17:30 - 09.09.2022 17:45","10048","9682"
"09.09.2022 17:45 - 09.09.2022 18:00","10066","9848"
"09.09.2022 18:00 - 09.09.2022 18:15","9917","9644"
"09.09.2022 18:15 - 09.09.2022 18:30","9910","9597"
"09.09.2022 18:30 - 09.09.2022 18:45","9854","9609"
"09.09.2022 18:45 - 09.09.2022 19:00","9769","9449"
"09.09.2022 19:00 - 09.09.2022 19:15","9642","9535"
"09.09.2022 19:15 - 09.09.2022 19:30","9530","9400"
"09.09.2022 19:30 - 09.09.2022 19:45","9463","9326"
"09.09.2022 19:45 - 09.09.2022 20:00","9374","9301"
"09.09.2022 20:00 - 09.09.2022 20:15","9333","9192"
"09.09.2022 20:15 - 09.09.2022 20:30","9281","9082"
"09.09.2022 20:30 - 09.09.2022 20:45","9302","9198"
"09.09.2022 20:45 - 09.09.2022 21:00","9287","9244"
"09.09.2022 21:00 - 09.09.2022 21:15","9188","9222"
"09.09.2022 21:15 - 09.09.2022 21:30","9113","9055"
"09.09.2022 21:30 - 09.09.2022 21:45","9064","8888"
"09.09.2022 21:45 - 09.09.2022 22:00","8952","8593"
"09.09.2022 22:00 - 09.09.2022 22:15","9023","8619"
"09.09.2022 22:15 - 09.09.2022 22:30","8942","8590"
"09.09.2022 22:30 - 09.09.2022 22:45","8936","8456"
"09.09.2022 22:45 - 09.09.2022 23:00","8801","8209"
"09.09.2022 23:00 - 09.09.2022 23:15","8787","8166"
"09.09.2022 23:15 - 09.09.2022 23:30","8692","8114"
"09.09.2022 23:30 - 09.09.2022 23:45","8599","8010"
"09.09.2022 23:45 - 10.09.2022 00:00","8446","7878"
"10.09.2022 00:00 - 10.09.2022 00:15","8177","7767"
"10.09.2022 00:15 - 10.09.2022 00:30","8041","7647"
"10.09.2022 00:30 - 10.09.2022 00:45","7963","7476"
"10.09.2022 00:45 - 10.09.2022 01:00","7934","7483"
"10.09.2022 01:00 - 10.09.2022 01:15","7799","7472"
"10.09.2022 01:15 - 10.09.2022 01:30","7696","7387"
"10.09.2022 01:30 - 10.09.2022 01:45","7575","7251"
"10.09.2022 01:45 - 10.09.2022 02:00","7541","7183"
"10.09.2022 02:00 - 10.09.2022 02:15","7352","7187"
"10.09.2022 02:15 - 10.09.2022 02:30","7293","7115"
"10.09.2022 02:30 - 10.09.2022 02:45","7320","7141"
"10.09.2022 02:45 - 10.09.2022 03:00","7261","6974"
"10.09.2022 03:00 - 10.09.2022 03:15","7243","6940"
"10.09.2022 03:15 - 10.09.2022 03:30","7177","6894"
"10.09.2022 03:30 - 10.09.2022 03:45","7166","6941"
"10.09.2022 03:45 - 10.09.2022 04:00","7201","6887"
"10.09.2022 04:00 - 10.09.2022 04:15","7148","6920"
"10.09.2022 04:15 - 10.09.2022 04:30","7212","6834"
"10.09.2022 04:30 - 10.09.2022 04:45","7169","6872"
"10.09.2022 04:45 - 10.09.2022 05:00","7125","6795"
"10.09.2022 05:00 - 10.09.2022 05:15","7177","6888"
"10.09.2022 05:15 - 10.09.2022 05:30","7167","6939"
"10.09.2022 05:30 - 10.09.2022 05:45","7176","6891"
"10.09.2022 05:45 - 10.09.2022 06:00","7275","6969"
"10.09.2022 06:00 - 10.09.2022 06:15","7394","7143"
"10.09.2022 06:15 - 10.09.2022 06:30","7436","7101"
"10.09.2022 06:30 - 10.09.2022 06:45","7437","7096"
"10.09.2022 06:45 - 10.09.2022 07:00","7504","7127"
"10.09.2022 07:00 - 10.09.2022 07:15","7654","7181"
"10.09.2022 07:15 - 10.09.2022 07:30","7780","7369"
"10.09.2022 07:30 - 10.09.2022 07:45","7829","7540"
"10.09.2022 07:45 - 10.09.2022 08:00","7904","7577"
"10.09.2022 08:00 - 10.09.2022 08:15","8080","7755"
"10.09.2022 08:15 - 10.09.2022 08:30","8234","7740"
"10.09.2022 08:30 - 10.09.2022 08:45","8346","7871"
"10.09.2022 08:45 - 10.09.2022 09:00","8460","8212"
"10.09.2022 09:00 - 10.09.2022 09:15","8527","8247"
"10.09.2022 09:15 - 10.09.2022 09:30","8713","8343"
"10.09.2022 09:30 - 10.09.2022 09:45","8716","8399"
"10.09.2022 09:45 - 10.09.2022 10:00","8777","8470"
"10.09.2022 10:00 - 10.09.2022 10:15","8850","8496"
"10.09.2022 10:15 - 10.09.2022 10:30","8912","8432"
"10.09.2022 10:30 - 10.09.2022 10:45","8950","8471"
"10.09.2022 10:45 - 10.09.2022 11:00","8932","8543"
"10.09.2022 11:00 - 10.09.2022 11:15","8941","8520"
"10.09.2022 11:15 - 10.09.2022 11:30","9076","8483"
"10.09.2022 11:30 - 10.09.2022 11:45","8998","8560"
"10.09.2022 11:45 - 10.09.2022 12:00","8985","8658"
"10.09.2022 12:00 - 10.09.2022 12:15","9057","8485"
"10.09.2022 12:15 - 10.09.2022 12:30","9002","8345"
"10.09.2022 12:30 - 10.09.2022 12:45","8743","8559"
"10.09.2022 12:45 - 10.09.2022 13:00","8948","8550"
"10.09.2022 13:00 - 10.09.2022 13:15","8892","8573"
"10.09.2022 13:15 - 10.09.2022 13:30","8830","8633"
"10.09.2022 13:30 - 10.09.2022 13:45","8695","8461"
"10.09.2022 13:45 - 10.09.2022 14:00","8628","8484"
"10.09.2022 14:00 - 10.09.2022 14:15","8628","8300"
"10.09.2022 14:15 - 10.09.2022 14:30","8710","8260"
"10.09.2022 14:30 - 10.09.2022 14:45","8649","8427"
"10.09.2022 14:45 - 10.09.2022 15:00","8548","8561"
"10.09.2022 15:00 - 10.09.2022 15:15","8526","8691"
"10.09.2022 15:15 - 10.09.2022 15:30","8501","8726"
"10.09.2022 15:30 - 10.09.2022 15:45","8569","8546"
"10.09.2022 15:45 - 10.09.2022 16:00","8576","8502"
"10.09.2022 16:00 - 10.09.2022 16:15","8604","8667"
"10.09.2022 16:15 - 10.09.2022 16:30","8607","8874"
"10.09.2022 16:30 - 10.09.2022 16:45","8552","8817"
"10.09.2022 16:45 - 10.09.2022 17:00","8583","8792"
"10.09.2022 17:00 - 10.09.2022 17:15","8694","8754"
"10.09.2022 17:15 - 10.09.2022 17:30","8702","8806"
"10.09.2022 17:30 - 10.09.2022 17:45","8803","8837"
"10.09.2022 17:45 - 10.09.2022 18:00","8778","8730"
"10.09.2022 18:00 - 10.09.2022 18:15","8819","8885"
"10.09.2022 18:15 - 10.09.2022 18:30","8915","8880"
"10.09.2022 18:30 - 10.09.2022 18:45","8769","8833"
"10.09.2022 18:45 - 10.09.2022 19:00","8799","8751"
"10.09.2022 19:00 - 10.09.2022 19:15","8760","8786"
"10.09.2022 19:15 - 10.09.2022 19:30","8730","8770"
"10.09.2022 19:30 - 10.09.2022 19:45","8656","8638"
"10.09.2022 19:45 - 10.09.2022 20:00","8645","8609"
"10.09.2022 20:00 - 10.09.2022 20:15","8682","8571"
"10.09.2022 20:15 - 10.09.2022 20:30","8596","8586"
"10.09.2022 20:30 - 10.09.2022 20:45","8666","8722"
"10.09.2022 20:45 - 10.09.2022 21:00","8681","8728"
"10.09.2022 21:00 - 10.09.2022 21:15","8554","8535"
"10.09.2022 21:15 - 10.09.2022 21:30","8538","8564"
"10.09.2022 21:30 - 10.09.2022 21:45","8558","8289"
"10.09.2022 21:45 - 10.09.2022 22:00","8472","8213"
"10.09.2022 22:00 - 10.09.2022 22:15","8435","8328"
"10.09.2022 22:15 - 10.09.2022 22:30","8420","8267"
"10.09.2022 22:30 - 10.09.2022 22:45","8327","8325"
"10.09.2022 22:45 - 10.09.2022 23:00","8240","8065"
"10.09.2022 23:00 - 10.09.2022 23:15","8146","8088"
"10.09.2022 23:15 - 10.09.2022 23:30","8092","7943"
"10.09.2022 23:30 - 10.09.2022 23:45","8007","7830"
"10.09.2022 23:45 - 11.09.2022 00:00","7881","7804"
"11.09.2022 00:00 - 11.09.2022 00:15","7510","7760"
"11.09.2022 00:15 - 11.09.2022 00:30","7407","7586"
"11.09.2022 00:30 - 11.09.2022 00:45","7371","7509"
"11.09.2022 00:45 - 11.09.2022 01:00","7256","7458"
"11.09.2022 01:00 - 11.09.2022 01:15","7277","7426"
"11.09.2022 01:15 - 11.09.2022 01:30","7151","7325"
"11.09.2022 01:30 - 11.09.2022 01:45","7083","7249"
"11.09.2022 01:45 - 11.09.2022 02:00","6996","7032"
"11.09.2022 02:00 - 11.09.2022 02:15","6927","7026"
"11.09.2022 02:15 - 11.09.2022 02:30","6993","7104"
"11.09.2022 02:30 - 11.09.2022 02:45","6897","7176"
"11.09.2022 02:45 - 11.09.2022 03:00","6852","7130"
"11.09.2022 03:00 - 11.09.2022 03:15","6834","6994"
"11.09.2022 03:15 - 11.09.2022 03:30","6763","6991"
"11.09.2022 03:30 - 11.09.2022 03:45","6763","6968"
"11.09.2022 03:45 - 11.09.2022 04:00","6770","6915"
"11.09.2022 04:00 - 11.09.2022 04:15","6750","6980"
"11.09.2022 04:15 - 11.09.2022 04:30","6732","6930"
"11.09.2022 04:30 - 11.09.2022 04:45","6695","6853"
"11.09.2022 04:45 - 11.09.2022 05:00","6724","6867"
"11.09.2022 05:00 - 11.09.2022 05:15","6750","6928"
"11.09.2022 05:15 - 11.09.2022 05:30","6756","6988"
"11.09.2022 05:30 - 11.09.2022 05:45","6728","7006"
"11.09.2022 05:45 - 11.09.2022 06:00","6820","6898"
"11.09.2022 06:00 - 11.09.2022 06:15","6968","7064"
"11.09.2022 06:15 - 11.09.2022 06:30","6938","7128"
"11.09.2022 06:30 - 11.09.2022 06:45","6915","7118"
"11.09.2022 06:45 - 11.09.2022 07:00","6934","7128"
"11.09.2022 07:00 - 11.09.2022 07:15","7071","7141"
"11.09.2022 07:15 - 11.09.2022 07:30","7100","7189"
"11.09.2022 07:30 - 11.09.2022 07:45","7162","7304"
"11.09.2022 07:45 - 11.09.2022 08:00","7210","7326"
"11.09.2022 08:00 - 11.09.2022 08:15","7348","7447"
"11.09.2022 08:15 - 11.09.2022 08:30","7476","7553"
"11.09.2022 08:30 - 11.09.2022 08:45","7589","7728"
"11.09.2022 08:45 - 11.09.2022 09:00","7647","7855"
"11.09.2022 09:00 - 11.09.2022 09:15","7741","7956"
"11.09.2022 09:15 - 11.09.2022 09:30","7877","8102"
"11.09.2022 09:30 - 11.09.2022 09:45","7995","8177"
"11.09.2022 09:45 - 11.09.2022 10:00","8030","8124"
"11.09.2022 10:00 - 11.09.2022 10:15","8086","8205"
"11.09.2022 10:15 - 11.09.2022 10:30","8091","8156"
"11.09.2022 10:30 - 11.09.2022 10:45","8104","8247"
"11.09.2022 10:45 - 11.09.2022 11:00","8174","8412"
"11.09.2022 11:00 - 11.09.2022 11:15","8217","8410"
"11.09.2022 11:15 - 11.09.2022 11:30","8290","8540"
"11.09.2022 11:30 - 11.09.2022 11:45","8353","8369"
"11.09.2022 11:45 - 11.09.2022 12:00","8373","8419"
"11.09.2022 12:00 - 11.09.2022 12:15","8379","8361"
"11.09.2022 12:15 - 11.09.2022 12:30","8388","8432"
"11.09.2022 12:30 - 11.09.2022 12:45","8317","8375"
"11.09.2022 12:45 - 11.09.2022 13:00","8308","8540"
"11.09.2022 13:00 - 11.09.2022 13:15","8229","8267"
"11.09.2022 13:15 - 11.09.2022 13:30","8234","8189"
"11.09.2022 13:30 - 11.09.2022 13:45","8155","7988"
"11.09.2022 13:45 - 11.09.2022 14:00","8107","7926"
"11.09.2022 14:00 - 11.09.2022 14:15","7968","7909"
"11.09.2022 14:15 - 11.09.2022 14:30","8000","7831"
"11.09.2022 14:30 - 11.09.2022 14:45","7910","7968"
"11.09.2022 14:45 - 11.09.2022 15:00","7851","7924"
"11.09.2022 15:00 - 11.09.2022 15:15","7791","7983"
"11.09.2022 15:15 - 11.09.2022 15:30","7790","7915"
"11.09.2022 15:30 - 11.09.2022 15:45","7849","7803"
"11.09.2022 15:45 - 11.09.2022 16:00","7750","7840"
"11.09.2022 16:00 - 11.09.2022 16:15","7800","7906"
"11.09.2022 16:15 - 11.09.2022 16:30","7817","7977"
"11.09.2022 16:30 - 11.09.2022 16:45","7826","7837"
"11.09.2022 16:45 - 11.09.2022 17:00","7906","7773"
"11.09.2022 17:00 - 11.09.2022 17:15","7990","7935"
"11.09.2022 17:15 - 11.09.2022 17:30","8017","8013"
"11.09.2022 17:30 - 11.09.2022 17:45","8058","8179"
"11.09.2022 17:45 - 11.09.2022 18:00","8102","8119"
"11.09.2022 18:00 - 11.09.2022 18:15","8255","8285"
"11.09.2022 18:15 - 11.09.2022 18:30","8327","8277"
"11.09.2022 18:30 - 11.09.2022 18:45","8373","8338"
"11.09.2022 18:45 - 11.09.2022 19:00","8345","8382"
"11.09.2022 19:00 - 11.09.2022 19:15","8443","8310"
"11.09.2022 19:15 - 11.09.2022 19:30","8476","8486"
"11.09.2022 19:30 - 11.09.2022 19:45","8432","8603"
"11.09.2022 19:45 - 11.09.2022 20:00","8424","8533"
"11.09.2022 20:00 - 11.09.2022 20:15","8502","8611"
"11.09.2022 20:15 - 11.09.2022 20:30","8476","8688"
"11.09.2022 20:30 - 11.09.2022 20:45","8400","8801"
"11.09.2022 20:45 - 11.09.2022 21:00","8488","8713"
"11.09.2022 21:00 - 11.09.2022 21:15","8396","8596"
"11.09.2022 21:15 - 11.09.2022 21:30","8486","8485"
"11.09.2022 21:30 - 11.09.2022 21:45","8467","8325"
"11.09.2022 21:45 - 11.09.2022 22:00","8397","8215"
"11.09.2022 22:00 - 11.09.2022 22:15","8354","8260"
"11.09.2022 22:15 - 11.09.2022 22:30","8392","8151"
"11.09.2022 22:30 - 11.09.2022 22:45","8283","8105"
"11.09.2022 22:45 - 11.09.2022 23:00","8225","7974"
"11.09.2022 23:00 - 11.09.2022 23:15","8114","8006"
"11.09.2022 23:15 - 11.09.2022 23:30","7965","7793"
"11.09.2022 23:30 - 11.09.2022 23:45","7821","7648"
"11.09.2022 23:45 - 12.09.2022 00:00","7803","7583"
"12.09.2022 00:00 - 12.09.2022 00:15","7806","7466"
"12.09.2022 00:15 - 12.09.2022 00:30","7629","7506"
"12.09.2022 00:30 - 12.09.2022 00:45","7554","7373"
"12.09.2022 00:45 - 12.09.2022 01:00","7512","7325"
"12.09.2022 01:00 - 12.09.2022 01:15","7479","7188"
"12.09.2022 01:15 - 12.09.2022 01:30","7454","7106"
"12.09.2022 01:30 - 12.09.2022 01:45","7331","7013"
"12.09.2022 01:45 - 12.09.2022 02:00","7277","7104"
"12.09.2022 02:00 - 12.09.2022 02:15","7237","7128"
